epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8261,2.72628,3.74932,3.9996,1.20297,0,0.00661,0.21089,0.02582,0.00616,0.00674,0.18622,0.0114,0.00354,2.5101,2.83714,3.99708,1.04007,0,0.000409091,0.000409091,0.000409091
2,33.1818,2.52202,2.93034,2.62797,1.07627,0,0.85545,0.05179,0.11474,0.0425,0.66367,0.03779,0.06199,0.01892,2.50188,2.91194,3.17075,1.07709,0,0.000817583,0.000817583,0.000817583
3,41.558,2.45992,2.87325,2.31844,1.05503,0,0.51192,0.20717,0.20512,0.07816,0.42134,0.14033,0.10107,0.02997,2.45176,2.62115,1.90143,1.05966,0,0.00121782,0.00121782,0.00121782
4,49.7336,2.40476,2.76919,2.0938,1.04377,0,0.60567,0.22678,0.23389,0.09187,0.21995,0.20703,0.14056,0.04273,2.3677,2.58482,1.9051,1.0857,0,0.00121287,0.00121287,0.00121287
5,57.8358,2.3813,2.85094,1.93308,1.02501,0,0.40249,0.31587,0.28355,0.10841,0.30627,0.19424,0.12063,0.04113,2.33742,2.60684,1.5637,1.06429,0,0.0012005,0.0012005,0.0012005
6,66.1211,2.32248,2.77075,1.8206,1.02472,0,0.41874,0.32001,0.28578,0.1167,0.22196,0.20332,0.12879,0.03805,2.26571,2.55669,1.52733,1.02342,0,0.00118812,0.00118812,0.00118812
7,74.2393,2.27504,2.68288,1.72553,1.0121,0,0.52155,0.30465,0.31453,0.12773,0.26812,0.22436,0.14533,0.04986,2.16158,2.5005,1.53735,1.02694,0,0.00117575,0.00117575,0.00117575
8,82.3551,2.23984,2.59701,1.6569,1.01158,0,0.5155,0.28889,0.29068,0.11703,0.3741,0.26232,0.15887,0.0502,2.31303,2.50491,1.5138,1.03637,0,0.00116337,0.00116337,0.00116337
9,90.374,2.22642,2.61382,1.60813,1.00767,0,0.47595,0.29255,0.28593,0.10684,0.2836,0.23832,0.13662,0.04017,2.3656,2.42308,1.48159,1.04947,0,0.001151,0.001151,0.001151
10,98.587,2.21727,2.55857,1.55355,1.00101,0,0.68162,0.30757,0.34108,0.14441,0.37896,0.24816,0.19754,0.06508,2.12418,2.44638,1.38933,0.99979,0,0.00113863,0.00113863,0.00113863
11,106.76,2.1751,2.61307,1.53719,0.97942,0,0.45458,0.34154,0.30771,0.12733,0.30093,0.23987,0.15941,0.0525,2.25007,2.49054,1.41284,1.02242,0,0.00112625,0.00112625,0.00112625
12,114.877,2.11433,2.54121,1.4753,0.97622,0,0.64612,0.29357,0.31222,0.14343,0.32314,0.27409,0.19001,0.06712,2.10938,2.38992,1.3636,0.99759,0,0.00111388,0.00111388,0.00111388
