epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1896,2.34614,3.12559,2.59217,1.13504,0,0.42511,0.10155,0.09463,0.0351,0.29376,0.03038,0.01736,0.00502,nan,nan,nan,nan,0,0.000412844,0.000412844,0.000412844
2,105.218,2.47605,2.90644,1.80363,1.13893,0,0.29471,0.29497,0.25315,0.09263,0.60989,0.09515,0.09067,0.03213,2.47683,2.86596,2.6428,1.20258,0,0.000821299,0.000821299,0.000821299
3,153.046,2.50405,2.93374,1.7874,1.13732,0,0.53797,0.20373,0.20156,0.07507,0.4663,0.13605,0.1108,0.03184,2.50083,2.70857,7.94498,1.19639,0,0.0012215,0.0012215,0.0012215
4,198.608,2.38952,2.79979,1.63143,1.10934,0,0.6109,0.24823,0.23603,0.08653,0.50518,0.1332,0.09477,0.0293,2.35255,2.93266,1.99149,1.13221,0,0.00121287,0.00121287,0.00121287
5,243.919,2.41869,2.85583,1.60497,1.10301,0,0.50519,0.3038,0.28164,0.10873,0.32251,0.25805,0.16145,0.0533,2.3598,2.61863,1.47973,1.1113,0,0.0012005,0.0012005,0.0012005
6,291.604,2.3764,2.76947,1.56606,1.09769,0,0.78482,0.23274,0.27862,0.11094,0.2909,0.23308,0.13486,0.04425,2.43654,2.61687,1.66168,1.12076,0,0.00118812,0.00118812,0.00118812
7,337.014,2.28966,2.65419,1.50316,1.0677,0,0.63722,0.29586,0.29817,0.11573,0.47603,0.19996,0.16224,0.0535,2.33394,2.46508,1.56323,1.09672,0,0.00117575,0.00117575,0.00117575
8,384.818,2.28525,2.61832,1.45604,1.07771,0,0.51803,0.31136,0.29346,0.13005,0.24729,0.24257,0.13992,0.04546,2.22453,2.50397,1.44172,1.07791,0,0.00116337,0.00116337,0.00116337
9,432.622,2.20231,2.61792,1.40194,1.05051,0,0.68901,0.31232,0.33069,0.13686,0.26548,0.22936,0.14747,0.04595,2.14895,2.45888,1.35866,1.05377,0,0.001151,0.001151,0.001151
10,480.395,2.2074,2.58505,1.38537,1.05022,0,0.5075,0.32453,0.31219,0.11756,0.33626,0.19663,0.13245,0.04805,2.32919,2.48896,1.42761,1.09275,0,0.00113863,0.00113863,0.00113863
11,525.684,2.1951,2.5897,1.38258,1.04092,0,0.5104,0.36157,0.34655,0.13758,0.2815,0.25058,0.15841,0.05075,2.19817,2.37626,1.33138,1.04806,0,0.00112625,0.00112625,0.00112625
12,573.648,2.11209,2.44436,1.32325,1.01615,0,0.56332,0.37449,0.36987,0.14586,0.40016,0.26562,0.21239,0.06342,2.22145,2.29138,1.30651,1.05714,0,0.00111388,0.00111388,0.00111388
13,621.313,2.08616,2.55557,1.32112,1.03783,0,0.64047,0.29756,0.28601,0.13065,0.48172,0.19361,0.12106,0.04055,2.15103,2.63273,1.53655,1.06217,0,0.0011015,0.0011015,0.0011015
14,666.676,2.12141,2.54084,1.33398,1.02927,0,0.59045,0.36511,0.36617,0.15955,0.36987,0.25429,0.18007,0.05597,2.11008,2.3637,1.27165,1.0453,0,0.00108913,0.00108913,0.00108913
15,714.487,2.05273,2.37974,1.26407,1.02374,0,0.58286,0.36359,0.3707,0.16124,0.36933,0.2905,0.20552,0.06549,2.08258,2.31057,1.31173,1.04242,0,0.00107675,0.00107675,0.00107675
16,762.193,2.05908,2.53477,1.27656,1.01243,0,0.41316,0.34508,0.35037,0.15974,0.4191,0.26493,0.21217,0.06466,2.0337,2.27909,1.31143,1.00499,0,0.00106437,0.00106437,0.00106437
17,807.618,2.04414,2.49539,1.27638,0.99904,0,0.62324,0.35983,0.39321,0.16731,0.31431,0.2493,0.17622,0.05748,2.09537,2.277,1.23381,1.0121,0,0.001052,0.001052,0.001052
