epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7653,2.49962,3.35491,3.92385,0.00342,6.54506,0.33307,0.30501,0.25615,0.09799,0.14695,0.15374,0.08835,0.02565,2.46224,2.61691,1.75786,0.01391,0,0.000412844,0.000412844,0.000412844
2,73.1223,2.53166,2.90426,2.03049,0.0033,3.16903,0.65161,0.31784,0.33597,0.13047,0.18948,0.1887,0.09878,0.02799,2.47623,2.54475,1.77859,0.01487,0,0.000821299,0.000821299,0.000821299
3,108.955,2.60014,2.90288,1.89003,0.00343,2.19146,0.62071,0.33394,0.33631,0.12501,0.4937,0.19142,0.13798,0.0446,2.42174,2.58566,1.66018,0.01423,0,0.0012215,0.0012215,0.0012215
4,144.727,2.56468,2.80336,1.78853,0.00345,1.64479,0.33356,0.30312,0.30203,0.12206,0.15378,0.13149,0.07933,0.02136,2.59594,2.52965,2.22408,0.01442,0,0.00121287,0.00121287,0.00121287
5,179.168,2.55523,2.92619,1.74533,0.00331,1.42186,0.48657,0.36591,0.35843,0.15114,0.27789,0.22659,0.14786,0.04891,2.30582,2.48909,1.54662,0.01317,0,0.0012005,0.0012005,0.0012005
6,214.958,2.46815,2.76249,1.7009,0.00321,1.42496,0.4766,0.38039,0.35511,0.14288,0.23175,0.232,0.13199,0.03804,2.41317,2.45205,1.52265,0.01366,0,0.00118812,0.00118812,0.00118812
7,249.618,2.44831,2.71317,1.64324,0.00316,1.32058,0.51381,0.33756,0.36583,0.15534,0.2972,0.16762,0.11368,0.03808,2.35815,2.34726,1.5437,0.0126,0,0.00117575,0.00117575,0.00117575
8,284.13,2.42412,2.65814,1.61077,0.0031,1.23713,0.79775,0.31387,0.37906,0.15263,0.26773,0.20993,0.12969,0.0388,2.39691,2.3883,1.58169,0.01364,0,0.00116337,0.00116337,0.00116337
9,318.731,2.42267,2.68199,1.55975,0.00307,1.22682,0.51784,0.36129,0.36732,0.16245,0.35377,0.22886,0.17864,0.06246,2.35231,2.43677,1.50132,0.01232,0,0.001151,0.001151,0.001151
10,354.627,2.38136,2.62507,1.56594,0.00304,1.19259,0.5593,0.30624,0.36248,0.16063,0.3226,0.205,0.14212,0.05037,2.32684,2.39344,1.67376,0.0135,0,0.00113863,0.00113863,0.00113863
11,389.011,2.38946,2.64613,1.54418,0.00299,1.18711,0.66197,0.39605,0.41341,0.17252,0.30239,0.26897,0.17546,0.05907,2.2819,2.2837,1.45491,0.01257,0,0.00112625,0.00112625,0.00112625
12,425.208,2.33585,2.57627,1.5251,0.00286,1.17931,0.64235,0.40454,0.41881,0.17763,0.41821,0.23452,0.18214,0.06163,2.2922,2.22687,1.47741,0.01191,0,0.00111388,0.00111388,0.00111388
13,461.125,2.3061,2.61044,1.50804,0.00292,1.18345,0.62278,0.37218,0.38998,0.17702,0.28954,0.2261,0.15048,0.0474,2.24593,2.27409,1.54099,0.0121,0,0.0011015,0.0011015,0.0011015
14,495.903,2.34955,2.6131,1.53105,0.00296,1.20204,0.50766,0.39508,0.39423,0.16364,0.29297,0.21143,0.15044,0.04718,2.35646,2.28049,1.45114,0.01246,0,0.00108913,0.00108913,0.00108913
15,530.756,2.25379,2.49785,1.47198,0.00284,1.10891,0.52603,0.38735,0.39109,0.17538,0.3193,0.20218,0.15259,0.0462,2.21453,2.31135,1.41912,0.01226,0,0.00107675,0.00107675,0.00107675
16,565.484,2.28609,2.6617,1.46635,0.0028,1.13585,0.54821,0.37052,0.3953,0.17818,0.34586,0.2472,0.19616,0.07088,2.26973,2.23802,1.53346,0.01205,0,0.00106437,0.00106437,0.00106437
17,601.502,2.23488,2.60003,1.45938,0.0027,1.11319,0.54867,0.40342,0.41471,0.18404,0.32701,0.25317,0.19388,0.06677,2.28435,2.35385,1.46447,0.01192,0,0.001052,0.001052,0.001052
