epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2224,2.23678,2.8397,2.15375,1.08412,0,0.09952,0.38771,0.0195,0.00674,0.06666,0.22185,0.01447,0.00587,2.27602,3.57231,81.3477,1.13685,0,0.000412844,0.000412844,0.000412844
2,68.4774,2.26552,2.71969,1.63839,1.09373,0,0.74166,0.27607,0.31604,0.12492,0.29166,0.22207,0.12363,0.0393,2.17885,2.59858,1.6965,1.08111,0,0.000821299,0.000821299,0.000821299
3,98.5029,2.32393,2.80339,1.57921,1.09676,0,0.65668,0.33674,0.31045,0.11446,0.3843,0.31046,0.22654,0.07741,2.42993,2.46761,1.41674,1.1099,0,0.0012215,0.0012215,0.0012215
4,128.433,2.27579,2.65815,1.56424,1.07137,0,0.42523,0.35478,0.33875,0.14489,0.30877,0.25649,0.16142,0.05802,2.17214,2.36001,1.4142,1.07841,0,0.00121287,0.00121287,0.00121287
5,158.366,2.28902,2.74604,1.46403,1.06217,0,0.70419,0.31171,0.31555,0.12304,0.45778,0.19638,0.13702,0.04835,2.23474,2.54509,1.36785,1.06361,0,0.0012005,0.0012005,0.0012005
6,187.693,2.20417,2.60234,1.41992,1.06416,0,0.586,0.33266,0.33016,0.1347,0.34876,0.28681,0.19123,0.06077,2.23219,2.34184,1.31882,1.10069,0,0.00118812,0.00118812,0.00118812
7,217.183,2.12188,2.49608,1.36768,1.03136,0,0.76683,0.34332,0.37278,0.14472,0.52011,0.26334,0.20382,0.06871,2.14464,2.27614,1.32012,1.06052,0,0.00117575,0.00117575,0.00117575
8,247.33,2.1477,2.47616,1.33921,1.04069,0,0.53432,0.3781,0.36063,0.16105,0.36719,0.24751,0.172,0.05433,2.09715,2.40722,1.2944,1.04243,0,0.00116337,0.00116337,0.00116337
9,277.385,2.08612,2.47933,1.29014,1.01952,0,0.49656,0.35692,0.35745,0.13364,0.24818,0.21849,0.13869,0.04101,2.24187,2.44278,1.29918,1.03944,0,0.001151,0.001151,0.001151
10,306.706,2.0966,2.47893,1.30425,1.03115,0,0.52844,0.37868,0.35525,0.15184,0.31361,0.2689,0.17956,0.05904,2.15594,2.24243,1.25395,1.05494,0,0.00113863,0.00113863,0.00113863
11,335.924,2.02199,2.43939,1.24845,0.99544,0,0.70419,0.35035,0.38217,0.16055,0.34402,0.266,0.17049,0.05393,2.0879,2.28972,1.31796,1.01703,0,0.00112625,0.00112625,0.00112625
