epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4694,2.40794,3.56103,3.29129,1.15296,0,0.50616,0.29078,0.29914,0.12119,0.21843,0.19977,0.11038,0.03268,2.13652,2.73499,1.64194,1.05221,0,0.000409091,0.000409091,0.000409091
2,38.6832,2.26998,2.68883,1.72472,1.06516,0,0.57896,0.28532,0.27879,0.11285,0.5004,0.17885,0.14736,0.05015,2.26677,2.68986,2.56608,1.07103,0,0.000817583,0.000817583,0.000817583
3,58.1492,2.28485,2.67855,1.57132,1.07591,0,0.45747,0.30597,0.29818,0.12051,0.29097,0.25986,0.17548,0.04939,2.2787,2.65793,1.9353,1.11972,0,0.00121782,0.00121782,0.00121782
4,77.6214,2.21277,2.53427,1.47269,1.05139,0,0.60623,0.29955,0.30737,0.112,0.48235,0.20025,0.15263,0.05025,2.37134,2.52439,1.54335,1.10502,0,0.00121287,0.00121287,0.00121287
5,96.7617,2.22526,2.68868,1.42274,1.03628,0,0.43009,0.29728,0.30207,0.1233,0.31788,0.22343,0.14054,0.04874,2.28814,2.40888,1.42901,1.02938,0,0.0012005,0.0012005,0.0012005
6,116.3,2.17514,2.60638,1.4138,1.02947,0,0.56942,0.33457,0.34691,0.15111,0.33598,0.28434,0.19952,0.06707,2.10551,2.38953,1.36834,1.02961,0,0.00118812,0.00118812,0.00118812
7,135.771,2.10464,2.50206,1.3395,1.02171,0,0.60687,0.34562,0.34676,0.14856,0.53933,0.24998,0.22103,0.06868,2.14561,2.34904,1.36692,1.0113,0,0.00117575,0.00117575,0.00117575
8,154.937,2.10135,2.45454,1.32254,1.02387,0,0.75265,0.32901,0.35504,0.15034,0.51388,0.2088,0.16784,0.05637,2.14239,2.55263,1.28373,1.02663,0,0.00116337,0.00116337,0.00116337
9,174.036,2.00772,2.4339,1.26885,0.99947,0,0.75273,0.3301,0.36229,0.15677,0.57718,0.22364,0.20678,0.06625,2.206,2.4765,1.32191,1.03857,0,0.001151,0.001151,0.001151
10,193.513,2.04957,2.40179,1.27136,1.00656,0,0.50111,0.39394,0.38744,0.18143,0.36405,0.28036,0.2089,0.07961,2.02244,2.32987,1.22006,1.02096,0,0.00113863,0.00113863,0.00113863
11,213.023,2.02192,2.45487,1.24217,0.98621,0,0.64218,0.4034,0.40296,0.18497,0.33294,0.2841,0.198,0.06858,2.0081,2.26762,1.2029,1.01981,0,0.00112625,0.00112625,0.00112625
