epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.62689,2.92311,3.86818,3.97689,1.28113,0,0.0116,0.25037,0.01483,0.00536,0.00864,0.16793,0.02088,0.00478,2.44058,3.04352,3.62044,1.03152,0,0.000409091,0.000409091,0.000409091
2,17.9198,2.54317,2.99068,2.49569,1.08601,0,0.8993,0.11838,0.22822,0.0871,0.6822,0.05564,0.09115,0.0255,2.51905,2.87706,2.44788,1.09783,0,0.000817583,0.000817583,0.000817583
3,25.5438,2.4604,2.9467,2.20358,1.0725,0,0.58063,0.21788,0.25035,0.09701,0.42237,0.15815,0.12728,0.04162,2.40804,2.85561,1.79158,1.07458,0,0.00121782,0.00121782,0.00121782
4,33.1383,2.38826,2.77242,1.98292,1.05292,0,0.40767,0.22743,0.22141,0.08294,0.28577,0.20606,0.13418,0.04527,2.35991,2.52661,1.62103,1.06328,0,0.00121287,0.00121287,0.00121287
5,40.6028,2.39679,2.87751,1.87442,1.0349,0,0.59773,0.26848,0.25689,0.0994,0.33328,0.19188,0.12637,0.04596,2.41642,2.70579,1.58546,1.07235,0,0.0012005,0.0012005,0.0012005
6,48.4355,2.31784,2.83159,1.74821,1.02943,0,0.38339,0.31492,0.29478,0.11261,0.27185,0.23867,0.13952,0.04418,2.30563,2.50831,1.4807,1.03743,0,0.00118812,0.00118812,0.00118812
7,56.0616,2.26145,2.67095,1.66818,1.01364,0,0.60429,0.31225,0.32352,0.12916,0.32893,0.25476,0.1566,0.05721,2.2693,2.46519,1.4485,1.02241,0,0.00117575,0.00117575,0.00117575
8,63.5758,2.21452,2.60507,1.58805,1.00491,0,0.73722,0.29664,0.32711,0.13878,0.27289,0.27724,0.15092,0.05193,2.18964,2.52752,1.42807,1.01919,0,0.00116337,0.00116337,0.00116337
9,71.0392,2.1721,2.61208,1.54095,1.00021,0,0.44209,0.35402,0.32004,0.13209,0.32269,0.23728,0.16289,0.05324,2.21139,2.48194,1.39308,1.0152,0,0.001151,0.001151,0.001151
10,78.4282,2.22008,2.56534,1.51463,1.00748,0,0.6184,0.32079,0.33432,0.14296,0.43715,0.22952,0.17293,0.06126,2.12633,2.54162,1.42572,0.99747,0,0.00113863,0.00113863,0.00113863
11,85.8306,2.18012,2.6265,1.49663,0.98716,0,0.57493,0.29301,0.30998,0.13488,0.25166,0.24285,0.14701,0.05091,2.16896,2.57002,1.38538,1.01075,0,0.00112625,0.00112625,0.00112625
12,93.2562,2.12413,2.572,1.45563,0.98365,0,0.51678,0.32049,0.32709,0.13338,0.36371,0.26375,0.18631,0.05735,2.31571,2.61329,1.37509,0.99901,0,0.00111388,0.00111388,0.00111388
13,100.585,2.12299,2.57788,1.45287,0.99115,0,0.52937,0.35038,0.34773,0.15119,0.43984,0.25498,0.21155,0.06742,2.09385,2.36003,1.32779,0.98063,0,0.0011015,0.0011015,0.0011015
14,108.007,2.1328,2.61633,1.41849,0.98353,0,0.43234,0.39099,0.34744,0.14559,0.3494,0.29326,0.18703,0.06138,2.09872,2.42473,1.3507,0.98629,0,0.00108913,0.00108913,0.00108913
15,115.41,2.08041,2.51318,1.39657,0.9784,0,0.56891,0.36772,0.35316,0.1443,0.36999,0.25753,0.18091,0.05679,2.12477,2.33504,1.37505,0.98073,0,0.00107675,0.00107675,0.00107675
16,122.792,2.06095,2.577,1.37685,0.97199,0,0.65808,0.34851,0.36368,0.15037,0.41233,0.22013,0.17611,0.05735,2.18452,2.55942,1.30998,0.98903,0,0.00106437,0.00106437,0.00106437
17,130.112,2.11497,2.57657,1.37999,0.97463,0,0.56803,0.35445,0.35223,0.15487,0.33544,0.27208,0.18186,0.06013,2.11949,2.51091,1.31825,0.99045,0,0.001052,0.001052,0.001052
18,137.475,2.09826,2.46373,1.37518,0.96532,0,0.51651,0.35701,0.34322,0.14841,0.26409,0.24921,0.15767,0.05327,2.116,2.47726,1.31929,0.97954,0,0.00103962,0.00103962,0.00103962
19,145.056,2.04121,2.51841,1.3407,0.95897,0,0.57661,0.34003,0.35159,0.15274,0.31302,0.24528,0.17304,0.05874,2.07583,2.51245,1.32522,0.98604,0,0.00102725,0.00102725,0.00102725
20,152.384,2.05535,2.48003,1.32867,0.9663,0,0.50027,0.31728,0.32409,0.14816,0.30657,0.2574,0.16477,0.05171,2.10555,2.48674,1.36324,0.96834,0,0.00101488,0.00101488,0.00101488
21,159.655,2.03114,2.46405,1.32613,0.95089,0,0.52333,0.37873,0.37593,0.17204,0.34756,0.26214,0.18335,0.06269,2.01769,2.39768,1.27735,0.9576,0,0.0010025,0.0010025,0.0010025
22,166.973,2.05178,2.4594,1.31737,0.95587,0,0.44434,0.39443,0.36237,0.16212,0.29545,0.27202,0.1787,0.05898,2.08609,2.32655,1.2684,0.96973,0,0.000990125,0.000990125,0.000990125
23,174.315,2.0191,2.45721,1.30471,0.95648,0,0.604,0.36519,0.37835,0.16945,0.33566,0.23797,0.17813,0.06318,2.03157,2.35046,1.29241,0.96788,0,0.00097775,0.00097775,0.00097775
24,181.781,1.99884,2.45883,1.28958,0.95043,0,0.54072,0.36997,0.36378,0.16168,0.41319,0.25581,0.19206,0.05936,2.10801,2.33944,1.3044,0.98064,0,0.000965375,0.000965375,0.000965375
25,189.163,2.01282,2.51689,1.29699,0.95222,0,0.48864,0.38803,0.36973,0.16568,0.32852,0.256,0.19245,0.06907,2.09069,2.51184,1.28237,0.95904,0,0.000953,0.000953,0.000953
26,196.518,1.97763,2.48062,1.25636,0.94629,0,0.47739,0.40009,0.36692,0.16604,0.30631,0.26733,0.17432,0.06232,2.02791,2.30012,1.22641,0.95617,0,0.000940625,0.000940625,0.000940625
27,203.858,1.96532,2.43435,1.27377,0.95221,0,0.55773,0.39872,0.38595,0.1745,0.32698,0.30141,0.20744,0.07137,2.00365,2.40044,1.2388,0.95994,0,0.00092825,0.00092825,0.00092825
28,211.269,1.95904,2.37362,1.27101,0.93922,0,0.47634,0.41405,0.39197,0.18114,0.30069,0.26382,0.17635,0.05769,1.9791,2.35714,1.228,0.94586,0,0.000915875,0.000915875,0.000915875
29,218.641,1.96079,2.35918,1.24813,0.94153,0,0.6266,0.38502,0.38495,0.17162,0.305,0.28758,0.20106,0.06826,1.99733,2.35463,1.21517,0.93779,0,0.0009035,0.0009035,0.0009035
30,226.026,1.90636,2.41887,1.20393,0.93741,0,0.49807,0.39718,0.36509,0.16126,0.39048,0.2466,0.18093,0.05975,2.08561,2.43598,1.25557,0.95957,0,0.000891125,0.000891125,0.000891125
31,233.419,1.90748,2.39893,1.21686,0.93304,0,0.67867,0.35479,0.37882,0.17648,0.40434,0.24691,0.19322,0.06628,2.04452,2.43117,1.26534,0.96343,0,0.00087875,0.00087875,0.00087875
32,240.667,1.93676,2.39118,1.23678,0.94,0,0.51665,0.39313,0.39324,0.1649,0.37901,0.25846,0.2048,0.06917,2.18908,2.2842,1.25309,0.95923,0,0.000866375,0.000866375,0.000866375
33,248.007,1.90439,2.3554,1.19282,0.93322,0,0.53276,0.4258,0.40761,0.18627,0.36184,0.3055,0.22724,0.0775,1.98625,2.23798,1.23036,0.93857,0,0.000854,0.000854,0.000854
34,255.389,1.92197,2.36885,1.20321,0.92962,0,0.65066,0.38312,0.39419,0.17777,0.36504,0.27302,0.19466,0.0693,1.99073,2.3151,1.21207,0.94823,0,0.000841625,0.000841625,0.000841625
35,262.779,1.92117,2.3675,1.20309,0.93085,0,0.52529,0.39758,0.38286,0.1777,0.30847,0.28879,0.18305,0.06181,1.96398,2.31076,1.19907,0.93062,0,0.00082925,0.00082925,0.00082925
36,270.119,1.9349,2.38017,1.21212,0.93279,0,0.59514,0.36954,0.37543,0.1745,0.3448,0.28853,0.209,0.06804,1.98682,2.34032,1.23914,0.95322,0,0.000816875,0.000816875,0.000816875
37,277.504,1.91003,2.32987,1.1883,0.92481,0,0.51361,0.39729,0.38783,0.18066,0.32073,0.2873,0.20448,0.06839,1.9467,2.22879,1.20792,0.93825,0,0.0008045,0.0008045,0.0008045
