epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2013,2.27791,3.06303,2.32313,1.10445,0,0.62922,0.28433,0.24843,0.09463,0.50772,0.18335,0.11293,0.03527,2.17973,2.65037,2.02131,1.12363,0,0.000412844,0.000412844,0.000412844
2,91.4715,2.2482,2.702,1.60844,1.07661,0,0.64733,0.25426,0.28973,0.11639,0.30848,0.20921,0.11837,0.04512,2.18216,2.54547,1.9628,1.09283,0,0.000821299,0.000821299,0.000821299
3,137.083,2.31339,2.76877,1.61643,1.09184,0,0.54766,0.33248,0.31855,0.13299,0.28367,0.23806,0.15239,0.05086,2.31106,2.54259,1.45416,1.10425,0,0.0012215,0.0012215,0.0012215
4,182.62,2.25289,2.64063,1.53612,1.07033,0,0.81633,0.27619,0.30056,0.12876,0.22269,0.21609,0.12488,0.04043,2.21988,2.70865,1.44784,1.07879,0,0.00121287,0.00121287,0.00121287
5,227.181,2.25288,2.70229,1.47675,1.0562,0,0.45678,0.34837,0.31596,0.11898,0.33219,0.2482,0.14953,0.04872,2.26885,2.56738,1.36791,1.09156,0,0.0012005,0.0012005,0.0012005
6,271.754,2.18298,2.61511,1.39674,1.04619,0,0.5439,0.34067,0.34761,0.14726,0.26284,0.25596,0.15495,0.05212,2.15482,2.46633,1.26513,1.06762,0,0.00118812,0.00118812,0.00118812
7,317.339,2.10894,2.482,1.35335,1.02384,0,0.51153,0.33461,0.32933,0.13561,0.27613,0.23252,0.15043,0.05024,2.26445,2.35445,1.37211,1.04549,0,0.00117575,0.00117575,0.00117575
8,361.951,2.1182,2.46852,1.31569,1.03926,0,0.65454,0.37299,0.3754,0.16331,0.38572,0.27161,0.18433,0.05944,2.0672,2.3668,1.25261,1.04261,0,0.00116337,0.00116337,0.00116337
9,407.468,2.05995,2.47445,1.28157,1.01065,0,0.51059,0.31288,0.32652,0.13988,0.34208,0.21814,0.15219,0.04705,2.20985,2.48976,1.32399,1.04428,0,0.001151,0.001151,0.001151
10,452.033,2.06797,2.41688,1.27382,1.02305,0,0.55953,0.38443,0.38638,0.16874,0.40294,0.23736,0.18555,0.06501,2.12003,2.38227,1.27263,1.04129,0,0.00113863,0.00113863,0.00113863
11,497.519,2.03079,2.42402,1.23395,1.00003,0,0.60642,0.39557,0.39193,0.16839,0.42718,0.22513,0.15609,0.05326,2.09037,2.33725,1.27959,1.01758,0,0.00112625,0.00112625,0.00112625
12,542.092,1.98399,2.37285,1.23192,0.98713,0,0.59663,0.369,0.38306,0.16891,0.31738,0.28578,0.17695,0.05273,2.06415,2.25002,1.25131,1.0151,0,0.00111388,0.00111388,0.00111388
13,586.694,1.96137,2.41084,1.21279,1.0018,0,0.52751,0.39008,0.37933,0.17095,0.3747,0.26838,0.19221,0.06517,2.09247,2.32509,1.26696,1.00278,0,0.0011015,0.0011015,0.0011015
14,632.291,2.01586,2.42255,1.22987,1.0017,0,0.5112,0.37678,0.36584,0.16383,0.34748,0.27723,0.17806,0.05883,1.99611,2.2289,1.23811,1.00579,0,0.00108913,0.00108913,0.00108913
15,676.86,1.9437,2.30659,1.18466,0.99248,0,0.53797,0.43171,0.41684,0.18406,0.2987,0.28963,0.1911,0.06256,1.98099,2.15675,1.14807,1.00659,0,0.00107675,0.00107675,0.00107675
16,722.448,1.94172,2.44187,1.18334,0.98691,0,0.50402,0.37855,0.38948,0.18612,0.39809,0.30651,0.23803,0.08005,1.99277,2.22667,1.20279,0.99447,0,0.00106437,0.00106437,0.00106437
17,768.019,1.9324,2.38054,1.1611,0.97602,0,0.60165,0.37432,0.38059,0.16729,0.39188,0.25625,0.17851,0.05302,2.04209,2.31732,1.21529,1.02631,0,0.001052,0.001052,0.001052
18,812.598,1.92858,2.29292,1.16696,0.98054,0,0.56266,0.40314,0.39436,0.18237,0.33079,0.33304,0.2234,0.07165,2.0322,2.30295,1.15553,1.00382,0,0.00103962,0.00103962,0.00103962
19,857.096,1.9142,2.34551,1.13332,0.97672,0,0.57334,0.40595,0.4113,0.19665,0.25997,0.27322,0.17148,0.0586,1.89907,2.18738,1.15505,1.00794,0,0.00102725,0.00102725,0.00102725
20,901.656,1.87238,2.31883,1.11517,0.96921,0,0.60366,0.36476,0.38336,0.16782,0.30548,0.25978,0.17051,0.05404,2.06529,2.3086,1.18858,1.00028,0,0.00101488,0.00101488,0.00101488
21,946.187,1.89237,2.33295,1.12216,0.9617,0,0.58529,0.41778,0.40976,0.18415,0.42126,0.26914,0.21026,0.06796,1.92318,2.21581,1.1213,0.98919,0,0.0010025,0.0010025,0.0010025
22,990.644,1.86647,2.28098,1.09055,0.95639,0,0.54465,0.43104,0.41249,0.18073,0.34899,0.27754,0.18721,0.06789,1.90536,2.17984,1.12995,0.98934,0,0.000990125,0.000990125,0.000990125
23,1035.17,1.85483,2.27855,1.117,0.96523,0,0.53697,0.4207,0.39524,0.19661,0.3259,0.2818,0.20724,0.06489,1.84716,2.22029,1.13134,0.99737,0,0.00097775,0.00097775,0.00097775
24,1079.74,1.84686,2.25453,1.08114,0.95982,0,0.52445,0.42848,0.41352,0.18726,0.33479,0.30548,0.20201,0.06843,2.01261,2.19118,1.12523,0.99508,0,0.000965375,0.000965375,0.000965375
25,1124.28,1.80732,2.24629,1.06315,0.95551,0,0.53823,0.44566,0.40683,0.18609,0.38919,0.29477,0.2278,0.07396,1.90225,2.20383,1.11039,1.004,0,0.000953,0.000953,0.000953
26,1168.79,1.77881,2.20872,1.03383,0.94737,0,0.57468,0.44939,0.44496,0.20301,0.29944,0.2893,0.20931,0.06791,2.01636,2.19045,1.11536,0.98117,0,0.000940625,0.000940625,0.000940625
27,1214.32,1.80493,2.23118,1.06574,0.94828,0,0.60835,0.4217,0.42984,0.19529,0.29016,0.32767,0.21248,0.07432,1.86474,2.14203,1.12174,0.98129,0,0.00092825,0.00092825,0.00092825
28,1258.89,1.76889,2.17573,1.03773,0.9335,0,0.56209,0.42967,0.42533,0.1937,0.36433,0.34057,0.2522,0.08067,1.93904,2.13888,1.11331,0.98911,0,0.000915875,0.000915875,0.000915875
29,1304.37,1.74146,2.18404,1.01679,0.9331,0,0.62557,0.42527,0.43249,0.21102,0.42187,0.28479,0.22647,0.07695,1.90244,2.22441,1.13253,0.98337,0,0.0009035,0.0009035,0.0009035
30,1349.93,1.71904,2.18782,1.01753,0.93457,0,0.6219,0.45144,0.44714,0.21072,0.33811,0.29043,0.19958,0.07105,1.83548,2.22001,1.10515,0.94738,0,0.000891125,0.000891125,0.000891125
31,1394.61,1.72266,2.15412,1.01357,0.92726,0,0.56789,0.45402,0.43924,0.20351,0.30154,0.32184,0.20074,0.06512,1.84049,2.19652,1.10243,0.96512,0,0.00087875,0.00087875,0.00087875
32,1439.16,1.74671,2.15505,1.01019,0.93614,0,0.58887,0.45708,0.45736,0.22075,0.36575,0.33113,0.22899,0.0729,1.87852,2.08397,1.07211,0.97777,0,0.000866375,0.000866375,0.000866375
33,1484.75,1.69508,2.10037,0.97349,0.92833,0,0.52319,0.43751,0.44009,0.20342,0.3444,0.3269,0.22175,0.07484,1.90428,2.2327,1.05921,0.9854,0,0.000854,0.000854,0.000854
34,1529.27,1.72547,2.11712,0.99476,0.92594,0,0.58686,0.41713,0.43956,0.21105,0.31158,0.34689,0.23193,0.07673,1.86719,2.21391,1.0544,0.97011,0,0.000841625,0.000841625,0.000841625
35,1573.83,1.71234,2.11923,0.97163,0.91839,0,0.69297,0.42411,0.45764,0.23185,0.37206,0.35243,0.24002,0.07772,1.81214,2.1907,1.05359,0.95555,0,0.00082925,0.00082925,0.00082925
36,1619.25,1.72136,2.08149,0.9857,0.91895,0,0.65747,0.43169,0.44417,0.21433,0.41611,0.34425,0.25548,0.08311,1.85215,2.16666,1.08094,0.97328,0,0.000816875,0.000816875,0.000816875
37,1663.7,1.69344,2.10044,0.96876,0.91169,0,0.55651,0.45508,0.43299,0.2154,0.32118,0.32642,0.21568,0.07251,1.76745,2.12337,1.01408,0.95077,0,0.0008045,0.0008045,0.0008045
38,1708.14,1.69098,2.1014,0.97801,0.90713,0,0.62663,0.44765,0.4589,0.22928,0.34965,0.33463,0.23519,0.078,1.82377,2.09473,1.05458,0.9493,0,0.000792125,0.000792125,0.000792125
39,1752.51,1.66873,2.06062,0.95004,0.91209,0,0.61419,0.45695,0.46222,0.21888,0.32779,0.34841,0.23912,0.07765,1.80806,2.11648,1.08289,0.96961,0,0.00077975,0.00077975,0.00077975
40,1796.98,1.67356,2.11089,0.94568,0.91371,0,0.61963,0.46018,0.45685,0.21394,0.30768,0.30897,0.20144,0.06785,1.86892,2.07251,1.06243,0.97842,0,0.000767375,0.000767375,0.000767375
41,1841.39,1.68021,2.09136,0.94593,0.91305,0,0.6593,0.40235,0.45581,0.21677,0.43229,0.24995,0.22646,0.07199,1.82555,2.2008,1.1096,0.97652,0,0.000755,0.000755,0.000755
42,1885.86,1.66629,2.15471,0.93882,0.91413,0,0.63447,0.46522,0.46786,0.22799,0.35309,0.33005,0.24048,0.07548,1.79163,2.21059,1.03527,0.95032,0,0.000742625,0.000742625,0.000742625
43,1930.32,1.63228,2.05471,0.92701,0.90057,0,0.63477,0.43873,0.45877,0.22506,0.45519,0.33295,0.27764,0.09134,1.83111,2.09963,1.09428,0.9656,0,0.00073025,0.00073025,0.00073025
44,1975.76,1.64104,2.04322,0.90863,0.90255,0,0.68985,0.44087,0.46701,0.22691,0.35751,0.30969,0.23011,0.07602,1.77614,2.12735,1.04427,0.95245,0,0.000717875,0.000717875,0.000717875
45,2020.26,1.652,2.06923,0.92826,0.90117,0,0.59137,0.46009,0.45581,0.21748,0.36502,0.32044,0.22481,0.07293,1.83391,2.06497,1.06526,0.95557,0,0.0007055,0.0007055,0.0007055
46,2064.82,1.63251,2.11227,0.91055,0.9065,0,0.55479,0.50017,0.47096,0.23131,0.34458,0.34553,0.24733,0.08752,1.77686,2.11598,1.06614,0.95321,0,0.000693125,0.000693125,0.000693125
47,2110.31,1.61579,2.01833,0.89331,0.89464,0,0.57747,0.48704,0.46471,0.229,0.34807,0.32598,0.22589,0.08142,1.76834,2.15169,1.07411,0.94421,0,0.00068075,0.00068075,0.00068075
48,2154.91,1.64263,2.13534,0.92393,0.89633,0,0.62551,0.45865,0.45501,0.22239,0.35565,0.3178,0.23318,0.07688,1.80074,2.157,1.08522,0.94766,0,0.000668375,0.000668375,0.000668375
49,2199.4,1.59817,1.9941,0.89038,0.88942,0,0.55659,0.48227,0.45494,0.21812,0.38404,0.31858,0.23394,0.08292,1.8093,2.16809,1.0869,0.96023,0,0.000656,0.000656,0.000656
50,2243.99,1.59869,2.05912,0.89746,0.88903,0,0.56408,0.487,0.46963,0.22448,0.33238,0.32183,0.21439,0.07115,1.79057,2.15719,1.03416,0.95604,0,0.000643625,0.000643625,0.000643625
51,2288.51,1.58157,1.99464,0.88605,0.87979,0,0.60285,0.47999,0.46436,0.22082,0.33429,0.32777,0.23542,0.07924,1.77301,2.17116,1.05835,0.94647,0,0.00063125,0.00063125,0.00063125
52,2333.06,1.60856,1.99615,0.89558,0.88859,0,0.63686,0.48612,0.46337,0.2316,0.38696,0.29438,0.22632,0.07437,1.76869,2.13397,1.00388,0.94662,0,0.000618875,0.000618875,0.000618875
53,2377.81,1.58785,1.96228,0.8767,0.88604,0,0.62214,0.47,0.46707,0.23311,0.31086,0.33183,0.22588,0.07494,1.81107,2.09789,1.0136,0.9514,0,0.0006065,0.0006065,0.0006065
54,2422.52,1.56906,2.00601,0.85932,0.87869,0,0.56986,0.4636,0.45536,0.23096,0.32633,0.31204,0.22332,0.07507,1.80411,2.06977,1.03564,0.96854,0,0.000594125,0.000594125,0.000594125
55,2467.06,1.53159,2.00248,0.83594,0.87149,0,0.62537,0.48243,0.46825,0.23314,0.35759,0.32112,0.2321,0.07998,1.80154,2.09299,1.03836,0.94001,0,0.00058175,0.00058175,0.00058175
56,2511.61,1.59168,1.97866,0.87335,0.88039,0,0.59885,0.45945,0.44677,0.21808,0.3735,0.31402,0.23023,0.07721,1.84262,2.16563,1.06682,0.94599,0,0.000569375,0.000569375,0.000569375
57,2556.23,1.54489,1.96154,0.83672,0.87406,0,0.59213,0.478,0.46621,0.22037,0.34724,0.32825,0.23422,0.0738,1.78261,2.06425,1.04586,0.95732,0,0.000557,0.000557,0.000557
58,2600.83,1.55144,1.95801,0.84082,0.87462,0,0.5857,0.49056,0.46466,0.22378,0.34707,0.31397,0.22525,0.07331,1.79938,2.12232,1.05239,0.96528,0,0.000544625,0.000544625,0.000544625
59,2645.32,1.54975,1.99193,0.84677,0.87609,0,0.67621,0.46967,0.47587,0.23548,0.34684,0.3339,0.25158,0.08664,1.76816,2.15314,1.04797,0.9456,0,0.00053225,0.00053225,0.00053225
60,2690.82,1.55006,1.97094,0.85699,0.87655,0,0.5817,0.47985,0.46607,0.22653,0.36334,0.30569,0.2242,0.0772,1.80902,1.97658,1.02311,0.9522,0,0.000519875,0.000519875,0.000519875
61,2735.33,1.50657,1.89983,0.82769,0.87018,0,0.63631,0.48598,0.4701,0.23332,0.41562,0.33101,0.27052,0.09219,1.75162,2.05767,1.02781,0.94987,0,0.0005075,0.0005075,0.0005075
62,2780.91,1.50756,1.85819,0.82092,0.86831,0,0.61276,0.49571,0.4791,0.2359,0.37812,0.35418,0.25619,0.08929,1.77342,2.09963,1.01954,0.95399,0,0.000495125,0.000495125,0.000495125
63,2825.41,1.48069,1.85197,0.80709,0.86774,0,0.60057,0.4929,0.47383,0.23554,0.35955,0.35111,0.24778,0.0856,1.74989,2.10115,0.98508,0.9574,0,0.00048275,0.00048275,0.00048275
64,2869.86,1.51957,1.89412,0.8152,0.8596,0,0.54915,0.5036,0.46128,0.23906,0.34838,0.3308,0.2385,0.08424,1.70695,2.06654,1.00702,0.95001,0,0.000470375,0.000470375,0.000470375
65,2914.36,1.48014,1.87172,0.80725,0.86785,0,0.58513,0.50152,0.4754,0.21885,0.34325,0.29799,0.2138,0.07682,1.80178,2.07891,1.02415,0.95625,0,0.000458,0.000458,0.000458
66,2959.04,1.49609,1.8562,0.80618,0.86115,0,0.62587,0.47754,0.47892,0.23047,0.3982,0.35085,0.2742,0.09193,1.77272,2.11354,1.03459,0.97128,0,0.000445625,0.000445625,0.000445625
67,3003.52,1.51539,1.88728,0.80939,0.8617,0,0.59624,0.49402,0.46656,0.2334,0.36132,0.34543,0.24107,0.08529,1.76345,2.28658,1.03935,0.96282,0,0.00043325,0.00043325,0.00043325
68,3049.74,1.45941,1.81424,0.79586,0.86581,0,0.6186,0.47994,0.47327,0.2308,0.32126,0.32424,0.2187,0.07309,1.79528,2.17222,1.03328,0.96201,0,0.000420875,0.000420875,0.000420875
69,3097.2,1.47003,1.88154,0.79127,0.86345,0,0.58979,0.48463,0.46247,0.22528,0.36606,0.32842,0.24257,0.08308,1.77634,2.24722,1.0638,0.95191,0,0.0004085,0.0004085,0.0004085
70,3143.56,1.46537,1.84503,0.7833,0.85285,0,0.58882,0.47746,0.4585,0.23106,0.35109,0.35105,0.2617,0.08606,1.74245,2.0574,1.02903,0.95073,0,0.000396125,0.000396125,0.000396125
71,3189.9,1.42698,1.84949,0.76848,0.85888,0,0.653,0.46454,0.46753,0.23743,0.35353,0.3406,0.26326,0.09076,1.80265,2.12503,1.02238,0.95669,0,0.00038375,0.00038375,0.00038375
72,3239.1,1.47367,1.90386,0.79128,0.85473,0,0.64703,0.47194,0.4722,0.23054,0.41028,0.29179,0.24673,0.08295,1.84817,2.1414,1.03303,0.96646,0,0.000371375,0.000371375,0.000371375
73,3285.58,1.43946,1.83683,0.76946,0.85422,0,0.57265,0.4958,0.46261,0.22487,0.33294,0.32972,0.2326,0.07484,1.80782,2.10799,1.04588,0.969,0,0.000359,0.000359,0.000359
74,3331.68,1.42713,1.82662,0.77256,0.85414,0,0.60066,0.49227,0.4711,0.23501,0.42432,0.36493,0.27916,0.09635,1.76913,2.10834,0.99487,0.96276,0,0.000346625,0.000346625,0.000346625
75,3380.68,1.43316,1.83803,0.76115,0.85187,0,0.62484,0.49232,0.47435,0.2385,0.33173,0.33407,0.24271,0.08255,1.72832,2.10541,0.98074,0.95831,0,0.00033425,0.00033425,0.00033425
76,3426.9,1.42415,1.81136,0.7522,0.84959,0,0.69678,0.46975,0.48283,0.24691,0.41199,0.34491,0.26639,0.09439,1.72227,2.1582,0.99234,0.95616,0,0.000321875,0.000321875,0.000321875
77,3475.68,1.42322,1.77808,0.75153,0.85034,0,0.54517,0.49467,0.46271,0.23694,0.39904,0.31107,0.23512,0.07775,1.72187,2.10781,1.01842,0.96155,0,0.0003095,0.0003095,0.0003095
78,3521.98,1.43072,1.81342,0.7573,0.84096,0,0.55967,0.50612,0.46904,0.22666,0.34987,0.33196,0.23195,0.08343,1.77514,2.1533,1.03492,0.97194,0,0.000297125,0.000297125,0.000297125
79,3568.35,1.4151,1.83388,0.74719,0.8483,0,0.61646,0.48786,0.46852,0.23682,0.3906,0.33585,0.25388,0.09069,1.69983,2.14599,1.00053,0.95773,0,0.00028475,0.00028475,0.00028475
80,3614.61,1.37001,1.76474,0.72481,0.85159,0,0.60412,0.49358,0.47317,0.23691,0.38783,0.34853,0.27064,0.09223,1.72419,2.16586,0.99151,0.95038,0,0.000272375,0.000272375,0.000272375
81,3661.02,1.38055,1.77022,0.72356,0.84199,0,0.62377,0.48439,0.47291,0.24081,0.40656,0.32883,0.25801,0.08974,1.7261,2.18419,1.00302,0.95615,0,0.00026,0.00026,0.00026
