epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6902,2.11105,2.83483,2.38288,1.06534,0,0.68463,0.29165,0.29943,0.12229,0.4473,0.15942,0.10272,0.02647,2.09473,2.91251,1.8986,1.10751,0,0.000412844,0.000412844,0.000412844
2,104.317,2.19108,2.54357,1.62175,1.07053,0,0.40948,0.32649,0.24063,0.09182,0.26518,0.21219,0.12183,0.04265,2.38523,2.61793,3.21216,1.11959,0,0.000821299,0.000821299,0.000821299
3,148.251,2.30344,2.63563,1.71222,1.0835,0,0.43051,0.3643,0.27145,0.10492,0.35964,0.30899,0.17692,0.06607,2.16405,2.59023,1.86794,1.10771,0,0.0012215,0.0012215,0.0012215
4,193.057,2.24917,2.55844,1.56767,1.06198,0,0.24681,0.37793,0.14611,0.06056,0.14124,0.25457,0.05737,0.0219,2.15296,2.50655,17.212,1.08363,0,0.00121287,0.00121287,0.00121287
5,236.83,2.24435,2.60446,1.48228,1.06036,0,0.40586,0.30515,0.26983,0.11734,0.20754,0.17857,0.1043,0.03207,2.38372,2.40272,1.7616,1.08993,0,0.0012005,0.0012005,0.0012005
6,280.591,2.19247,2.55304,1.40642,1.04937,0,0.53812,0.34357,0.35405,0.16078,0.33751,0.21834,0.14698,0.04627,2.18599,2.27931,1.43693,1.06595,0,0.00118812,0.00118812,0.00118812
7,325.233,2.11779,2.43546,1.33637,1.02385,0,0.5348,0.38819,0.3813,0.1713,0.29521,0.26908,0.16031,0.04994,2.04951,2.10246,1.31198,1.03219,0,0.00117575,0.00117575,0.00117575
8,369.885,2.07608,2.34178,1.31361,1.02475,0,0.55675,0.39211,0.38502,0.17496,0.32381,0.26782,0.18499,0.06136,2.02874,2.27893,1.2659,1.02453,0,0.00116337,0.00116337,0.00116337
9,414.457,2.03338,2.36617,1.29095,1.01118,0,0.54734,0.37643,0.38169,0.16683,0.33088,0.24191,0.17516,0.05887,2.11781,2.24813,1.35079,1.02198,0,0.001151,0.001151,0.001151
10,458.233,2.03258,2.32247,1.25525,1.00998,0,0.56088,0.41606,0.40516,0.18505,0.39721,0.27345,0.21445,0.07415,2.0286,2.17624,1.25782,1.01112,0,0.00113863,0.00113863,0.00113863
11,502.837,1.99948,2.31756,1.2489,0.98232,0,0.54542,0.43155,0.42432,0.19716,0.2872,0.27078,0.16855,0.05953,1.93267,2.1384,1.26307,0.97864,0,0.00112625,0.00112625,0.00112625
12,546.688,1.94854,2.25468,1.22594,0.97393,0,0.51181,0.41194,0.38407,0.17766,0.33978,0.3082,0.19763,0.06975,2.01768,2.09858,1.22078,0.98528,0,0.00111388,0.00111388,0.00111388
13,590.362,1.94832,2.31502,1.20752,0.99619,0,0.59141,0.40523,0.42017,0.20038,0.32571,0.30159,0.19837,0.07008,1.91551,2.18847,1.17114,0.99131,0,0.0011015,0.0011015,0.0011015
14,635.106,1.95338,2.29894,1.20106,0.99639,0,0.5977,0.43163,0.44541,0.21874,0.35059,0.29181,0.21828,0.07641,1.91743,2.1685,1.19292,0.98142,0,0.00108913,0.00108913,0.00108913
15,679.998,1.94798,2.24705,1.19089,0.99413,0,0.59667,0.45004,0.44398,0.21234,0.34496,0.30188,0.21137,0.07335,1.99095,2.12256,1.19329,1.01588,0,0.00107675,0.00107675,0.00107675
16,723.709,1.90854,2.31027,1.16684,0.9779,0,0.70379,0.42481,0.43108,0.18492,0.40326,0.31233,0.218,0.07579,2.00466,2.09412,1.2251,0.98269,0,0.00106437,0.00106437,0.00106437
17,767.464,1.91929,2.27137,1.1657,0.96615,0,0.63917,0.42728,0.4275,0.20855,0.4297,0.27867,0.22663,0.07545,1.9393,2.16822,1.20166,0.99966,0,0.001052,0.001052,0.001052
18,811.275,1.87432,2.2415,1.14403,0.96626,0,0.55408,0.48055,0.44717,0.21518,0.35372,0.32807,0.23388,0.09044,1.87367,2.10686,1.11188,0.98011,0,0.00103962,0.00103962,0.00103962
19,855.879,1.87608,2.21845,1.12381,0.96783,0,0.56527,0.46836,0.44955,0.2148,0.32556,0.30267,0.19131,0.06021,1.90609,2.20013,1.1718,0.9878,0,0.00102725,0.00102725,0.00102725
20,899.559,1.86039,2.23278,1.12785,0.96921,0,0.59707,0.4559,0.45542,0.20209,0.33883,0.29611,0.20417,0.07183,2.00363,2.15691,1.14994,0.99225,0,0.00101488,0.00101488,0.00101488
21,943.279,1.85213,2.22678,1.11784,0.95606,0,0.58332,0.44797,0.43895,0.22353,0.35509,0.29752,0.21523,0.08276,1.85266,2.13858,1.18339,0.9548,0,0.0010025,0.0010025,0.0010025
22,987.927,1.83606,2.27258,1.10829,0.9546,0,0.5785,0.47878,0.44941,0.21329,0.37599,0.32824,0.22536,0.07853,1.83583,2.0894,1.12669,0.95773,0,0.000990125,0.000990125,0.000990125
23,1031.63,1.80385,2.18628,1.09331,0.94945,0,0.56409,0.4545,0.44075,0.19771,0.38271,0.29522,0.2204,0.0786,1.87487,2.05382,1.15754,0.98469,0,0.00097775,0.00097775,0.00097775
24,1075.5,1.82259,2.17794,1.07729,0.95559,0,0.61334,0.4806,0.46232,0.21864,0.40768,0.28921,0.22086,0.08292,1.85686,2.05807,1.12688,0.95472,0,0.000965375,0.000965375,0.000965375
