epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,37.87,2.28058,3.05892,3.73779,0.003,6.52031,0.42142,0.37585,0.36086,0.17118,0.2339,0.2267,0.14249,0.03989,2.15775,2.44207,1.58838,0.01154,0,0.000412844,0.000412844,0.000412844
2,71.8758,2.34931,2.68499,1.8251,0.00295,3.0231,0.51066,0.42457,0.40876,0.18013,0.31204,0.23228,0.14369,0.05,2.20666,2.29737,1.50352,0.01209,0,0.000821299,0.000821299,0.000821299
3,106.196,2.37054,2.6567,1.70584,0.00297,1.99423,0.4456,0.41702,0.40742,0.1718,0.30619,0.33423,0.24556,0.09613,2.34024,2.47044,1.48465,0.0136,0,0.0012215,0.0012215,0.0012215
4,140.313,2.3993,2.64949,1.59464,0.00301,1.45537,0.48106,0.44578,0.40146,0.16577,0.22517,0.25591,0.15779,0.04763,2.39778,2.46941,1.49347,0.01311,0,0.00121287,0.00121287,0.00121287
5,173.822,2.37548,2.67753,1.59334,0.00296,1.1927,0.54817,0.44289,0.42748,0.17973,0.23266,0.21404,0.12961,0.03503,2.21534,2.24251,1.50832,0.01235,0,0.0012005,0.0012005,0.0012005
6,207.344,2.36771,2.60392,1.52819,0.00291,1.16488,0.51991,0.40966,0.40735,0.18209,0.33343,0.18129,0.13214,0.04972,2.27519,2.32082,1.47201,0.01201,0,0.00118812,0.00118812,0.00118812
7,240.866,2.32717,2.54042,1.49678,0.00289,1.14636,0.55463,0.44389,0.43895,0.19391,0.27612,0.21993,0.13473,0.04362,2.33582,2.20613,1.48646,0.01202,0,0.00117575,0.00117575,0.00117575
8,274.4,2.30476,2.46537,1.46034,0.00284,1.08671,0.57658,0.43039,0.41848,0.18288,0.295,0.22747,0.16252,0.05489,2.25372,2.40743,1.42222,0.0122,0,0.00116337,0.00116337,0.00116337
9,307.958,2.28051,2.51039,1.4498,0.00278,1.08906,0.58047,0.45029,0.43089,0.18251,0.30801,0.21764,0.15446,0.04597,2.40701,2.12825,1.42572,0.01252,0,0.001151,0.001151,0.001151
10,341.56,2.27088,2.4351,1.43057,0.0028,1.08318,0.58638,0.46146,0.46266,0.21365,0.32937,0.26985,0.20459,0.07405,2.1392,2.29621,1.34018,0.01166,0,0.00113863,0.00113863,0.00113863
11,375.371,2.24794,2.44774,1.40841,0.00267,1.06363,0.63405,0.47138,0.4757,0.21895,0.43257,0.2868,0.20815,0.07635,2.20699,2.28631,1.33548,0.01162,0,0.00112625,0.00112625,0.00112625
12,409.379,2.21336,2.44094,1.39495,0.00264,1.05848,0.58595,0.47745,0.46169,0.215,0.33596,0.28797,0.21486,0.07874,2.21776,2.1728,1.34188,0.01117,0,0.00111388,0.00111388,0.00111388
13,442.871,2.18165,2.47116,1.42569,0.00274,1.04402,0.53305,0.45569,0.47322,0.23035,0.2745,0.25296,0.16976,0.05495,2.1126,2.27719,1.35037,0.01144,0,0.0011015,0.0011015,0.0011015
14,476.358,2.17398,2.39203,1.38767,0.00261,1.05827,0.62521,0.45535,0.47129,0.2193,0.38327,0.29846,0.23558,0.08483,2.13712,2.24638,1.40316,0.01151,0,0.00108913,0.00108913,0.00108913
15,510.291,2.15829,2.36197,1.34478,0.0026,1.03087,0.6246,0.4402,0.49256,0.22422,0.33314,0.24402,0.17648,0.06318,2.15082,2.23322,1.32336,0.01122,0,0.00107675,0.00107675,0.00107675
16,543.694,2.16701,2.43226,1.34761,0.00255,1.02723,0.63122,0.45474,0.4815,0.21904,0.30387,0.2509,0.18597,0.06181,2.18666,2.25744,1.362,0.01154,0,0.00106437,0.00106437,0.00106437
17,577.314,2.15212,2.46477,1.34785,0.00251,1.03287,0.55517,0.48202,0.47014,0.21833,0.61112,0.2309,0.18516,0.06202,2.13884,2.34819,1.36738,0.01067,0,0.001052,0.001052,0.001052
18,610.889,2.1676,2.33033,1.35705,0.00257,0.98381,0.62471,0.47753,0.49413,0.24167,0.38588,0.2838,0.22074,0.08249,2.08007,2.25098,1.22672,0.01075,0,0.00103962,0.00103962,0.00103962
19,644.742,2.11796,2.39554,1.33502,0.00243,0.97119,0.57702,0.46173,0.48452,0.23636,0.31485,0.27576,0.18648,0.06474,2.10059,2.20425,1.31973,0.01059,0,0.00102725,0.00102725,0.00102725
20,678.155,2.12393,2.3916,1.33123,0.00251,1.01027,0.62832,0.48691,0.51062,0.23356,0.41386,0.27706,0.20331,0.07516,2.16189,2.24504,1.33837,0.01063,0,0.00101488,0.00101488,0.00101488
21,711.518,2.13669,2.36891,1.30945,0.00247,0.95864,0.60244,0.49515,0.49487,0.23992,0.30251,0.25713,0.18498,0.0654,2.0747,2.21261,1.28136,0.01071,0,0.0010025,0.0010025,0.0010025
22,744.963,2.16793,2.42921,1.34033,0.0025,0.96433,0.68155,0.5037,0.48649,0.23102,0.37624,0.28325,0.20451,0.07396,2.08196,2.1962,1.27929,0.01085,0,0.000990125,0.000990125,0.000990125
23,778.434,2.079,2.33609,1.31895,0.00243,0.94952,0.62588,0.48208,0.49035,0.23182,0.34843,0.27765,0.21655,0.07944,2.1095,2.23885,1.28664,0.01083,0,0.00097775,0.00097775,0.00097775
24,811.852,2.09584,2.2831,1.30262,0.00243,0.92569,0.68151,0.47391,0.51164,0.25445,0.40608,0.3009,0.24475,0.08965,2.03868,2.24588,1.23927,0.01027,0,0.000965375,0.000965375,0.000965375
25,845.994,2.07847,2.32494,1.26705,0.00238,0.89668,0.65246,0.48321,0.49829,0.23792,0.39989,0.30719,0.23012,0.08243,2.10372,2.20399,1.25279,0.01068,0,0.000953,0.000953,0.000953
26,879.643,2.05321,2.27678,1.24105,0.00235,0.89371,0.6833,0.47812,0.52427,0.25022,0.42357,0.27806,0.2195,0.08017,2.06154,2.24906,1.2405,0.01,0,0.000940625,0.000940625,0.000940625
27,913.123,2.08091,2.28085,1.28971,0.00239,0.95654,0.64767,0.45824,0.50714,0.25045,0.39903,0.30254,0.26595,0.09784,2.00393,2.16213,1.30186,0.00996,0,0.00092825,0.00092825,0.00092825
28,947.179,2.05532,2.26201,1.29214,0.00236,0.9268,0.58483,0.48048,0.50362,0.24776,0.45688,0.26247,0.24123,0.08869,2.02122,2.16828,1.2236,0.01063,0,0.000915875,0.000915875,0.000915875
29,980.584,2.04971,2.21686,1.24988,0.00238,0.87913,0.63643,0.50918,0.52722,0.25989,0.35268,0.3032,0.24738,0.07745,1.99787,2.27455,1.19775,0.01028,0,0.0009035,0.0009035,0.0009035
