epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3846,2.33118,3.05556,3.45851,0.0031,5.14212,0.50832,0.3378,0.31626,0.14551,0.17461,0.20555,0.11955,0.03921,2.08456,2.38507,1.67555,0.01148,0,0.000412844,0.000412844,0.000412844
2,63.2788,2.29781,2.66836,1.85257,0.00281,2.55103,0.47955,0.41143,0.37133,0.15951,0.25465,0.23571,0.16634,0.05336,2.19909,2.34856,1.62724,0.01189,0,0.000821299,0.000821299,0.000821299
3,93.1855,2.34474,2.66966,1.77288,0.00292,1.41853,0.49701,0.42178,0.40657,0.18028,0.30346,0.28223,0.18143,0.0603,2.16137,2.36288,1.55671,0.01173,0,0.0012215,0.0012215,0.0012215
4,122.972,2.34456,2.60433,1.66029,0.00289,1.25992,0.47009,0.37219,0.36562,0.15333,0.22649,0.22473,0.1322,0.04121,2.2766,2.38844,1.56291,0.01316,0,0.00121287,0.00121287,0.00121287
5,152.19,2.36399,2.68262,1.64477,0.00295,1.2431,0.47529,0.41511,0.41424,0.17496,0.30469,0.24969,0.16902,0.06476,2.31088,2.31921,1.44056,0.01207,0,0.0012005,0.0012005,0.0012005
6,181.401,2.29442,2.59802,1.59924,0.0028,1.21276,0.54625,0.41972,0.42499,0.19055,0.29973,0.22797,0.15449,0.05607,2.21087,2.30882,1.46692,0.01205,0,0.00118812,0.00118812,0.00118812
7,211.112,2.27302,2.52334,1.53544,0.00277,1.22744,0.55723,0.45437,0.44013,0.19591,0.38967,0.29305,0.1965,0.07394,2.25116,2.13419,1.4729,0.0119,0,0.00117575,0.00117575,0.00117575
8,240.744,2.22252,2.43371,1.50563,0.00271,1.18659,0.54858,0.41608,0.4374,0.20612,0.33243,0.26781,0.19063,0.06136,2.18807,2.30559,1.4327,0.01167,0,0.00116337,0.00116337,0.00116337
9,269.923,2.20895,2.48953,1.4664,0.00265,1.10753,0.58336,0.42862,0.45162,0.18977,0.32847,0.27443,0.21312,0.08438,2.35379,2.33543,1.41356,0.01168,0,0.001151,0.001151,0.001151
10,299.528,2.25003,2.48079,1.45021,0.00272,1.07357,0.57362,0.45511,0.46751,0.21615,0.35088,0.28558,0.2075,0.07609,2.12672,2.28632,1.31285,0.01085,0,0.00113863,0.00113863,0.00113863
