epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1878,2.85456,4.05115,5.2744,0.00452,12.16,0.00634,0.24538,0.02937,0.01076,0.0076,0.31365,0.02013,0.00561,2.41781,3.00829,3.87079,0.01398,0,0.000409091,0.000409091,0.000409091
2,25.5543,2.59145,2.92929,3.7045,0.00337,6.28643,0.61362,0.12638,0.20988,0.08322,0.52625,0.08717,0.11467,0.03934,2.39773,2.66542,2.5204,0.01326,0,0.000817583,0.000817583,0.000817583
3,37.3028,2.48809,2.92043,3.04059,0.00315,3.35342,0.53301,0.25487,0.23289,0.08954,0.16565,0.17952,0.08077,0.02275,2.38144,2.60154,2.0969,0.0131,0,0.00121782,0.00121782,0.00121782
4,48.8797,2.48627,2.82624,2.61482,0.00314,2.62044,0.41123,0.31645,0.28404,0.118,0.3053,0.25165,0.15665,0.05082,2.3792,2.5113,1.78586,0.01334,0,0.00121287,0.00121287,0.00121287
5,60.5945,2.44305,2.8183,2.34378,0.00304,2.29999,0.38544,0.32976,0.32209,0.13317,0.26446,0.21994,0.12488,0.04515,2.35576,2.53923,1.76582,0.01251,0,0.0012005,0.0012005,0.0012005
6,72.077,2.39914,2.76597,2.13774,0.00295,1.94132,0.42263,0.35114,0.32936,0.13829,0.18691,0.23275,0.13041,0.04119,2.26882,2.32555,1.76323,0.01298,0,0.00118812,0.00118812,0.00118812
7,83.7058,2.36104,2.62277,2.02483,0.00289,1.54037,0.474,0.34981,0.32943,0.14762,0.24364,0.2569,0.14543,0.04411,2.24879,2.32827,1.69972,0.01155,0,0.00117575,0.00117575,0.00117575
8,95.4182,2.35269,2.60381,1.95727,0.00293,1.45906,0.43425,0.3856,0.35781,0.15425,0.27328,0.28927,0.16091,0.05919,2.27,2.33501,1.63478,0.01343,0,0.00116337,0.00116337,0.00116337
9,107.004,2.32556,2.60504,1.89824,0.00281,1.39487,0.4461,0.36138,0.34985,0.14347,0.27642,0.27689,0.18582,0.06871,2.38852,2.41684,1.6473,0.01237,0,0.001151,0.001151,0.001151
10,118.633,2.33607,2.59963,1.81254,0.00286,1.2753,0.41134,0.3928,0.34658,0.16008,0.31162,0.30262,0.2058,0.07876,2.29166,2.37413,1.64786,0.01199,0,0.00113863,0.00113863,0.00113863
11,130.378,2.31331,2.59934,1.77829,0.00273,1.31006,0.48713,0.38417,0.35835,0.16165,0.26787,0.27475,0.16067,0.06352,2.23603,2.34189,1.60569,0.0117,0,0.00112625,0.00112625,0.00112625
12,141.957,2.26922,2.55177,1.72968,0.00271,1.2458,0.4758,0.38821,0.36526,0.17151,0.32227,0.26084,0.19092,0.07091,2.20222,2.4031,1.58169,0.01168,0,0.00111388,0.00111388,0.00111388
13,153.771,2.24115,2.54791,1.70201,0.00273,1.2432,0.51961,0.39484,0.35906,0.1611,0.38194,0.30863,0.23632,0.08881,2.26373,2.33471,1.58648,0.01219,0,0.0011015,0.0011015,0.0011015
14,165.291,2.29699,2.63492,1.71043,0.00275,1.23091,0.4732,0.41612,0.36629,0.16854,0.32068,0.2869,0.18896,0.07158,2.1787,2.42122,1.56498,0.01177,0,0.00108913,0.00108913,0.00108913
15,176.863,2.25476,2.53577,1.67171,0.00274,1.17136,0.49705,0.37239,0.36399,0.17181,0.362,0.27173,0.19425,0.07308,2.1517,2.31952,1.58511,0.01151,0,0.00107675,0.00107675,0.00107675
16,188.61,2.25834,2.51884,1.6453,0.0027,1.14962,0.64511,0.3678,0.38893,0.1787,0.52212,0.27604,0.1997,0.07592,2.25329,2.34411,1.58762,0.01149,0,0.00106437,0.00106437,0.00106437
17,200.302,2.28648,2.5239,1.63688,0.00271,1.16934,0.46586,0.419,0.39342,0.17203,0.24377,0.28554,0.17946,0.06181,2.24703,2.35197,1.56108,0.01182,0,0.001052,0.001052,0.001052
18,211.879,2.25035,2.47337,1.64177,0.00265,1.13463,0.48082,0.4332,0.40748,0.19054,0.28897,0.27631,0.19317,0.06343,2.165,2.35815,1.4856,0.01156,0,0.00103962,0.00103962,0.00103962
19,223.604,2.21073,2.49781,1.60242,0.00259,1.12423,0.5295,0.38446,0.39118,0.17487,0.33085,0.24123,0.1954,0.07099,2.19293,2.48151,1.52164,0.01149,0,0.00102725,0.00102725,0.00102725
20,235.289,2.22963,2.50682,1.59533,0.00266,1.13945,0.56338,0.38103,0.41037,0.18993,0.25947,0.23533,0.15994,0.05917,2.16352,2.3817,1.47008,0.01135,0,0.00101488,0.00101488,0.00101488
21,246.918,2.23912,2.44188,1.596,0.00264,1.14787,0.59016,0.38333,0.39335,0.18425,0.27941,0.26277,0.18331,0.06183,2.15019,2.41231,1.52931,0.01154,0,0.0010025,0.0010025,0.0010025
22,258.743,2.23393,2.51759,1.5844,0.00259,1.1109,0.45315,0.4273,0.38585,0.18072,0.28515,0.28592,0.20698,0.0707,2.17653,2.38245,1.55276,0.01162,0,0.000990125,0.000990125,0.000990125
23,270.317,2.19238,2.48493,1.55433,0.00259,1.1088,0.47035,0.4397,0.39861,0.17837,0.30458,0.30875,0.22225,0.08086,2.26093,2.40787,1.48491,0.01143,0,0.00097775,0.00097775,0.00097775
24,281.912,2.21612,2.4484,1.57361,0.00263,1.09328,0.51072,0.41372,0.41612,0.18957,0.26967,0.25045,0.17763,0.06321,2.22355,2.39749,1.48472,0.0117,0,0.000965375,0.000965375,0.000965375
25,293.656,2.2004,2.49943,1.5403,0.00254,1.09387,0.51397,0.42138,0.4211,0.19433,0.31664,0.29513,0.20974,0.07594,2.22657,2.41086,1.45093,0.01175,0,0.000953,0.000953,0.000953
26,305.224,2.1814,2.49627,1.52546,0.00255,1.1151,0.53449,0.43328,0.42112,0.18795,0.29057,0.26043,0.17289,0.06359,2.25374,2.34867,1.48094,0.01143,0,0.000940625,0.000940625,0.000940625
27,316.804,2.15588,2.38859,1.51925,0.00254,1.06377,0.52615,0.42794,0.427,0.20444,0.31473,0.26074,0.16882,0.06296,2.21677,2.36364,1.43117,0.01192,0,0.00092825,0.00092825,0.00092825
28,328.568,2.21948,2.40237,1.55386,0.00256,1.02293,0.58069,0.43623,0.42958,0.21255,0.34873,0.2642,0.19215,0.07711,2.0906,2.29184,1.44558,0.01108,0,0.000915875,0.000915875,0.000915875
29,340.269,2.15316,2.34223,1.4948,0.00248,0.98974,0.50108,0.43217,0.42492,0.20212,0.32547,0.30893,0.23581,0.08014,2.18548,2.42499,1.40535,0.01093,0,0.0009035,0.0009035,0.0009035
30,351.859,2.13979,2.49718,1.49294,0.00252,0.96173,0.52641,0.39854,0.41881,0.20567,0.34214,0.26843,0.216,0.08151,2.21995,2.3328,1.44124,0.0121,0,0.000891125,0.000891125,0.000891125
31,363.523,2.16371,2.4447,1.509,0.00253,0.95165,0.50312,0.42302,0.41685,0.19185,0.27394,0.26151,0.17669,0.05823,2.20013,2.40488,1.48313,0.01188,0,0.00087875,0.00087875,0.00087875
32,375.029,2.15812,2.418,1.49628,0.00255,0.98522,0.52776,0.42918,0.42319,0.20903,0.31196,0.28279,0.20891,0.07706,2.12595,2.37268,1.4446,0.01146,0,0.000866375,0.000866375,0.000866375
33,386.8,2.12056,2.37772,1.48559,0.00251,0.98166,0.54534,0.43517,0.42776,0.203,0.31228,0.27296,0.19715,0.07538,2.20611,2.36346,1.47461,0.01126,0,0.000854,0.000854,0.000854
34,398.344,2.15277,2.38754,1.48375,0.00251,0.93275,0.53127,0.42951,0.41579,0.20477,0.37564,0.28704,0.22541,0.08205,2.19696,2.27133,1.44358,0.01099,0,0.000841625,0.000841625,0.000841625
35,409.848,2.16296,2.36833,1.49716,0.00249,0.94346,0.49715,0.44181,0.41443,0.20632,0.27755,0.28315,0.21044,0.07599,2.12498,2.27603,1.42847,0.01144,0,0.00082925,0.00082925,0.00082925
36,421.453,2.16723,2.41186,1.48947,0.0025,0.99397,0.49885,0.44082,0.42412,0.20313,0.29476,0.28738,0.21007,0.08011,2.24306,2.25282,1.39165,0.01164,0,0.000816875,0.000816875,0.000816875
37,433.049,2.14442,2.39036,1.46986,0.00247,0.95775,0.53803,0.44725,0.43518,0.21472,0.29352,0.29336,0.21696,0.07755,2.15978,2.35081,1.40151,0.01122,0,0.0008045,0.0008045,0.0008045
38,444.581,2.1177,2.38427,1.46952,0.00241,0.92819,0.55441,0.43269,0.44011,0.21631,0.37656,0.28971,0.22779,0.08706,2.15745,2.30693,1.38845,0.01116,0,0.000792125,0.000792125,0.000792125
39,456.309,2.12375,2.36783,1.47113,0.00242,0.92654,0.55716,0.41549,0.42706,0.20357,0.35645,0.26416,0.22855,0.08761,2.17545,2.25284,1.46694,0.01129,0,0.00077975,0.00077975,0.00077975
40,467.829,2.12267,2.37013,1.46578,0.00245,0.92586,0.53144,0.45756,0.43127,0.20645,0.29899,0.26619,0.17784,0.0631,2.13038,2.26063,1.43132,0.01064,0,0.000767375,0.000767375,0.000767375
41,479.526,2.13363,2.37372,1.43684,0.00246,0.93908,0.52114,0.44837,0.42979,0.21927,0.2894,0.27949,0.18689,0.06718,2.05163,2.30346,1.39561,0.01086,0,0.000755,0.000755,0.000755
42,491.281,2.1305,2.41086,1.43697,0.00244,0.94933,0.51625,0.45611,0.4251,0.20199,0.31544,0.30145,0.2129,0.07714,2.16558,2.27135,1.40897,0.01147,0,0.000742625,0.000742625,0.000742625
43,502.801,2.12025,2.33,1.41883,0.00242,0.91368,0.48902,0.45555,0.42876,0.2099,0.33159,0.28415,0.23014,0.08447,2.1347,2.30758,1.41952,0.01118,0,0.00073025,0.00073025,0.00073025
44,514.293,2.10464,2.29193,1.42281,0.0024,0.91456,0.52146,0.44645,0.44408,0.21882,0.34149,0.29198,0.22948,0.09337,2.11828,2.30305,1.37893,0.01159,0,0.000717875,0.000717875,0.000717875
45,526.056,2.1346,2.38987,1.44614,0.00235,0.90113,0.56446,0.44897,0.43574,0.21243,0.36999,0.26382,0.20374,0.07582,2.12126,2.24679,1.46428,0.01111,0,0.0007055,0.0007055,0.0007055
46,537.497,2.09776,2.37826,1.43208,0.00239,0.91374,0.58016,0.42921,0.44733,0.22258,0.32719,0.25998,0.18452,0.06531,2.11818,2.48232,1.39599,0.01065,0,0.000693125,0.000693125,0.000693125
47,549.087,2.12389,2.41129,1.43557,0.00239,0.92267,0.54145,0.45286,0.44631,0.21938,0.32675,0.28002,0.20279,0.07167,2.1246,2.29281,1.40794,0.01105,0,0.00068075,0.00068075,0.00068075
48,560.721,2.11157,2.40396,1.43739,0.00238,0.91927,0.5461,0.44743,0.44625,0.21767,0.32904,0.26304,0.20298,0.07029,2.1558,2.27134,1.35281,0.01098,0,0.000668375,0.000668375,0.000668375
49,572.251,2.09042,2.33759,1.38917,0.00234,0.88876,0.57474,0.45551,0.4577,0.23541,0.37778,0.27004,0.22874,0.08132,2.09028,2.17101,1.35365,0.01059,0,0.000656,0.000656,0.000656
50,583.909,2.09886,2.32272,1.42225,0.00241,0.89824,0.52641,0.45037,0.43913,0.21374,0.31225,0.28834,0.20438,0.07657,2.13517,2.28837,1.40843,0.01089,0,0.000643625,0.000643625,0.000643625
