epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,16.206,2.44563,3.54295,6.06194,0.00339,7.9929,0.58482,0.28966,0.26838,0.1202,0.45017,0.17267,0.12535,0.03573,2.16421,2.58441,2.21505,0.01125,0,0.000409091,0.000409091,0.000409091
2,32.2914,2.36348,2.70237,2.28761,0.00285,3.65292,0.4264,0.40837,0.33713,0.13917,0.23287,0.23731,0.11939,0.04204,2.35633,2.4998,2.05115,0.01289,0,0.000817583,0.000817583,0.000817583
3,48.1757,2.39852,2.68305,1.84323,0.00296,2.40517,0.59071,0.34394,0.34326,0.15511,0.49795,0.20502,0.1509,0.05169,2.18589,2.46427,1.81765,0.01206,0,0.00121782,0.00121782,0.00121782
4,63.958,2.35045,2.60554,1.73007,0.00288,1.53188,0.42075,0.41155,0.37011,0.16139,0.24795,0.25512,0.15469,0.05468,2.28248,2.5052,1.62875,0.01322,0,0.00121287,0.00121287,0.00121287
5,79.7975,2.39547,2.65251,1.6729,0.00293,1.23182,0.51157,0.35777,0.37485,0.16695,0.33759,0.23763,0.18506,0.07115,2.28911,2.35907,1.58734,0.01363,0,0.0012005,0.0012005,0.0012005
6,95.6369,2.32248,2.59707,1.63331,0.00282,1.16942,0.50652,0.41179,0.38938,0.18562,0.32295,0.26162,0.17127,0.05672,2.16624,2.37177,1.48739,0.01189,0,0.00118812,0.00118812,0.00118812
7,111.673,2.31846,2.51664,1.57502,0.00282,1.13667,0.52242,0.4167,0.38492,0.16936,0.37306,0.28713,0.20257,0.07947,2.28132,2.22736,1.5074,0.01235,0,0.00117575,0.00117575,0.00117575
8,127.665,2.28606,2.46525,1.55627,0.00283,1.11576,0.67197,0.37199,0.40468,0.18256,0.56376,0.22649,0.17753,0.05992,2.3212,2.39915,1.50874,0.01262,0,0.00116337,0.00116337,0.00116337
9,143.374,2.26336,2.49875,1.54004,0.0027,1.13788,0.68941,0.39042,0.41429,0.18747,0.48053,0.22681,0.13413,0.04408,2.29728,2.39486,1.53452,0.01255,0,0.001151,0.001151,0.001151
10,159.077,2.27409,2.50744,1.51021,0.00275,1.05156,0.49799,0.41993,0.42891,0.2003,0.3302,0.2783,0.20768,0.07235,2.13806,2.35891,1.5357,0.01195,0,0.00113863,0.00113863,0.00113863
11,175.078,2.26162,2.49524,1.48522,0.00267,1.09252,0.50905,0.46321,0.44996,0.20076,0.31763,0.27953,0.19438,0.06486,2.23186,2.38122,1.43707,0.01185,0,0.00112625,0.00112625,0.00112625
12,190.722,2.23959,2.44194,1.44857,0.00265,1.06048,0.53074,0.42461,0.43134,0.20632,0.34464,0.26654,0.21802,0.07737,2.17916,2.39968,1.47984,0.01124,0,0.00111388,0.00111388,0.00111388
13,206.652,2.19297,2.44394,1.45247,0.00262,1.05983,0.62387,0.43053,0.45407,0.21786,0.38756,0.27426,0.22355,0.0862,2.17356,2.24623,1.44638,0.0116,0,0.0011015,0.0011015,0.0011015
14,222.603,2.25853,2.52367,1.49255,0.00268,1.0968,0.60347,0.4321,0.44455,0.19801,0.38955,0.279,0.20874,0.07419,2.26818,2.32873,1.3343,0.01177,0,0.00108913,0.00108913,0.00108913
15,238.303,2.1921,2.40767,1.41124,0.00267,1.03953,0.61268,0.42122,0.44779,0.21747,0.42165,0.26216,0.22099,0.07807,2.16229,2.31435,1.3815,0.01148,0,0.00107675,0.00107675,0.00107675
16,253.921,2.17675,2.41447,1.38423,0.00259,1.03234,0.6472,0.42432,0.46178,0.20326,0.36364,0.25066,0.18736,0.06986,2.27304,2.39306,1.46919,0.012,0,0.00106437,0.00106437,0.00106437
17,269.577,2.2034,2.4458,1.40119,0.00257,1.02968,0.62449,0.45136,0.48224,0.22581,0.31938,0.2788,0.2126,0.07161,2.19663,2.31033,1.3427,0.01133,0,0.001052,0.001052,0.001052
18,285.247,2.17745,2.36435,1.44109,0.00254,1.00513,0.53227,0.45229,0.44067,0.21748,0.29076,0.23967,0.16965,0.05478,2.10525,2.31305,1.42126,0.01106,0,0.00103962,0.00103962,0.00103962
19,301.013,2.13387,2.38848,1.40246,0.00245,1.0022,0.60254,0.48667,0.4889,0.22702,0.39854,0.27107,0.20977,0.07494,2.1537,2.25826,1.33018,0.01088,0,0.00102725,0.00102725,0.00102725
20,316.707,2.2053,2.42841,1.38992,0.0026,1.02269,0.58745,0.45871,0.45929,0.20222,0.30548,0.25113,0.16562,0.05604,2.22973,2.21938,1.46331,0.01169,0,0.00101488,0.00101488,0.00101488
21,332.362,2.17284,2.33167,1.38296,0.00251,1.03458,0.58629,0.46219,0.47548,0.22946,0.34856,0.26269,0.20693,0.07947,2.1392,2.2991,1.35998,0.01055,0,0.0010025,0.0010025,0.0010025
22,348.275,2.16577,2.41657,1.38179,0.00247,0.99326,0.59812,0.44267,0.47234,0.2267,0.37469,0.26618,0.20966,0.07713,2.11168,2.25634,1.37132,0.01075,0,0.000990125,0.000990125,0.000990125
23,363.93,2.10335,2.37629,1.34904,0.00245,0.99357,0.59779,0.47794,0.45091,0.21722,0.37441,0.29699,0.22347,0.08168,2.10607,2.24659,1.34254,0.01085,0,0.00097775,0.00097775,0.00097775
24,379.668,2.11504,2.34964,1.34208,0.00247,0.95409,0.59398,0.46793,0.48599,0.23123,0.34884,0.27611,0.20559,0.07619,2.0685,2.27111,1.35705,0.01033,0,0.000965375,0.000965375,0.000965375
25,395.323,2.11592,2.38505,1.34373,0.0024,0.9415,0.63761,0.45006,0.47204,0.22336,0.41333,0.29813,0.22911,0.08597,2.15345,2.33902,1.37256,0.01101,0,0.000953,0.000953,0.000953
26,411.181,2.12174,2.3581,1.32136,0.00245,0.93893,0.54046,0.43871,0.46789,0.22717,0.41847,0.25518,0.23519,0.08368,2.09168,2.25725,1.42876,0.0104,0,0.000940625,0.000940625,0.000940625
27,427.036,2.10083,2.29777,1.32881,0.00245,0.94051,0.59829,0.47209,0.48796,0.24045,0.36962,0.26248,0.20207,0.07299,2.00966,2.28714,1.31553,0.01037,0,0.00092825,0.00092825,0.00092825
28,442.983,2.09477,2.26683,1.34712,0.00238,0.93352,0.6404,0.4581,0.49044,0.23577,0.42267,0.29548,0.24048,0.09495,2.09497,2.37367,1.32323,0.01065,0,0.000915875,0.000915875,0.000915875
29,458.714,2.095,2.22151,1.33588,0.00241,0.91388,0.6621,0.45378,0.49059,0.22846,0.36253,0.23885,0.20904,0.07064,2.12185,2.27869,1.37093,0.01031,0,0.0009035,0.0009035,0.0009035
30,474.393,2.05102,2.36306,1.30349,0.00236,0.91044,0.58645,0.50356,0.50779,0.23888,0.41226,0.26184,0.20859,0.0775,2.10854,2.2805,1.37749,0.0105,0,0.000891125,0.000891125,0.000891125
31,489.989,2.07173,2.29123,1.29695,0.00237,0.87903,0.58041,0.49449,0.48717,0.22352,0.30882,0.27061,0.18938,0.06143,2.13394,2.24001,1.37955,0.01065,0,0.00087875,0.00087875,0.00087875
32,505.816,2.07086,2.281,1.30406,0.00237,0.91925,0.64822,0.46162,0.50799,0.24879,0.38356,0.2736,0.22191,0.08039,2.03412,2.07177,1.31778,0.00975,0,0.000866375,0.000866375,0.000866375
33,521.483,2.03459,2.27222,1.28951,0.00236,0.91441,0.63368,0.49587,0.51156,0.25004,0.35231,0.28575,0.20774,0.07588,2.05867,2.16015,1.27819,0.01046,0,0.000854,0.000854,0.000854
34,537.289,2.07309,2.27023,1.28831,0.00236,0.88155,0.60485,0.48106,0.50321,0.24452,0.34256,0.26327,0.19475,0.07332,2.02871,2.17049,1.25548,0.01014,0,0.000841625,0.000841625,0.000841625
35,552.982,2.08071,2.25387,1.28243,0.00235,0.86467,0.64318,0.46405,0.50339,0.24704,0.44217,0.27175,0.23977,0.09616,2.02659,2.19475,1.27887,0.01087,0,0.00082925,0.00082925,0.00082925
36,568.843,2.06568,2.29813,1.32238,0.00233,0.91329,0.62119,0.48942,0.51265,0.25095,0.39827,0.26583,0.22527,0.08646,2.03938,2.2679,1.29849,0.01019,0,0.000816875,0.000816875,0.000816875
37,584.535,2.04384,2.27248,1.28289,0.00225,0.89869,0.59022,0.50212,0.49769,0.24816,0.4533,0.24736,0.20147,0.07618,1.99654,2.26024,1.28685,0.01018,0,0.0008045,0.0008045,0.0008045
38,600.277,2.04454,2.25891,1.2954,0.00225,0.87321,0.54761,0.48332,0.49827,0.25581,0.42798,0.28574,0.24321,0.09144,1.99849,2.22834,1.36928,0.00984,0,0.000792125,0.000792125,0.000792125
39,616.071,2.04048,2.25081,1.28776,0.00228,0.88639,0.60999,0.50519,0.51359,0.25418,0.33632,0.28243,0.2148,0.07712,2.00369,2.19963,1.29297,0.00987,0,0.00077975,0.00077975,0.00077975
40,631.705,2.01646,2.26269,1.28127,0.00226,0.86174,0.58219,0.50787,0.50305,0.24541,0.36506,0.25779,0.18931,0.07549,2.02646,2.23588,1.30283,0.00985,0,0.000767375,0.000767375,0.000767375
41,647.415,2.03552,2.2633,1.26755,0.00228,0.87712,0.63351,0.46195,0.49698,0.24684,0.44055,0.27456,0.24104,0.09036,2.06652,2.25333,1.32528,0.00986,0,0.000755,0.000755,0.000755
42,663.167,2.01998,2.31523,1.27052,0.00226,0.8926,0.57556,0.47595,0.49765,0.24554,0.37548,0.27055,0.21826,0.08312,2.05099,2.21527,1.29133,0.00979,0,0.000742625,0.000742625,0.000742625
43,679.037,1.99731,2.22569,1.25766,0.00221,0.85971,0.60425,0.51916,0.51432,0.25612,0.38707,0.29493,0.22716,0.08468,1.99372,2.24231,1.27814,0.00945,0,0.00073025,0.00073025,0.00073025
44,694.668,1.98663,2.14444,1.23735,0.00221,0.86968,0.62847,0.48955,0.5047,0.2454,0.44464,0.30707,0.26934,0.10589,2.11379,2.30689,1.31224,0.01027,0,0.000717875,0.000717875,0.000717875
45,710.607,2.04939,2.27161,1.24871,0.00219,0.84704,0.57614,0.48797,0.48764,0.23254,0.31784,0.2793,0.19808,0.07078,2.11513,2.30047,1.31337,0.01036,0,0.0007055,0.0007055,0.0007055
46,726.293,2.00565,2.21704,1.24887,0.00222,0.86775,0.64465,0.51517,0.51634,0.26005,0.33807,0.27849,0.20982,0.07198,1.99071,2.2821,1.29565,0.00972,0,0.000693125,0.000693125,0.000693125
47,742.107,2.02411,2.24901,1.26645,0.00222,0.8663,0.61524,0.48591,0.50487,0.24421,0.38535,0.27194,0.22234,0.07991,2.02353,2.204,1.30439,0.01016,0,0.00068075,0.00068075,0.00068075
48,757.89,2.03986,2.28859,1.25801,0.00228,0.84785,0.60486,0.46634,0.49759,0.25514,0.3385,0.26088,0.21354,0.07854,2.03589,2.18685,1.2716,0.01025,0,0.000668375,0.000668375,0.000668375
49,773.574,1.96167,2.19285,1.21976,0.00213,0.83299,0.63443,0.5082,0.52484,0.26855,0.42333,0.28522,0.23241,0.08223,2.00543,2.14279,1.25054,0.00987,0,0.000656,0.000656,0.000656
50,789.198,1.98413,2.17729,1.22252,0.00217,0.82813,0.60663,0.49423,0.50778,0.25249,0.36587,0.30254,0.22701,0.08696,2.09645,2.22088,1.32148,0.0103,0,0.000643625,0.000643625,0.000643625
51,804.983,1.98448,2.18992,1.23092,0.00216,0.82578,0.66663,0.46994,0.51154,0.25306,0.37652,0.26406,0.19673,0.07355,2.04086,2.35214,1.31115,0.00975,0,0.00063125,0.00063125,0.00063125
52,820.703,1.97839,2.14582,1.23079,0.00214,0.81551,0.61841,0.52208,0.52699,0.25687,0.35742,0.28004,0.20812,0.0827,2.06751,2.22103,1.30015,0.0097,0,0.000618875,0.000618875,0.000618875
53,836.405,1.97832,2.18805,1.22448,0.00212,0.84181,0.60579,0.49817,0.51555,0.26466,0.36319,0.2741,0.22092,0.08769,1.99459,2.22753,1.27794,0.00945,0,0.0006065,0.0006065,0.0006065
54,852.321,1.9666,2.18336,1.20862,0.00212,0.8469,0.69526,0.48855,0.54164,0.27548,0.42547,0.27368,0.23891,0.09328,2.01598,2.2236,1.21165,0.00975,0,0.000594125,0.000594125,0.000594125
