epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2798,1.9938,2.50043,2.04602,1.00851,0,0.68815,0.33645,0.35164,0.15359,0.44483,0.21529,0.12127,0.03408,2.07592,2.64042,1.82246,1.0393,0,0.000412844,0.000412844,0.000412844
2,70.5125,2.092,2.44604,1.47147,1.02422,0,0.51532,0.39023,0.38219,0.16074,0.41787,0.20815,0.1803,0.06237,2.05596,2.46827,1.32544,1.04442,0,0.000821299,0.000821299,0.000821299
3,101.598,2.14541,2.51695,1.49327,1.04658,0,0.55147,0.36891,0.36895,0.14523,0.40099,0.28972,0.22993,0.07583,2.2616,2.36865,1.68217,1.08042,0,0.0012215,0.0012215,0.0012215
4,131.885,2.10015,2.46485,1.38266,1.02493,0,0.76666,0.33474,0.3772,0.16901,0.58685,0.23404,0.21387,0.06967,2.0729,2.33087,1.32691,1.04759,0,0.00121287,0.00121287,0.00121287
5,162.823,2.10491,2.50574,1.31913,1.01547,0,0.56838,0.41372,0.40919,0.17304,0.36458,0.276,0.182,0.06312,2.06254,2.20595,1.2848,0.99895,0,0.0012005,0.0012005,0.0012005
6,193.05,2.03754,2.4259,1.29739,1.01112,0,0.51101,0.45296,0.40882,0.18679,0.31797,0.28293,0.1736,0.06128,2.00505,2.27191,1.21156,1.0397,0,0.00118812,0.00118812,0.00118812
7,223.966,2.01866,2.36937,1.2668,0.99222,0,0.56943,0.41703,0.42651,0.18739,0.46212,0.31269,0.24085,0.08656,2.00587,2.14261,1.27224,1.00717,0,0.00117575,0.00117575,0.00117575
8,254.937,1.99172,2.2885,1.23543,0.99568,0,0.55736,0.46533,0.43195,0.20937,0.41967,0.32682,0.23307,0.08729,1.8699,2.21893,1.17638,1.004,0,0.00116337,0.00116337,0.00116337
9,285.872,1.94938,2.27969,1.20239,0.98393,0,0.55141,0.44306,0.41584,0.18605,0.34619,0.26373,0.17875,0.06002,2.00066,2.32316,1.2398,0.98818,0,0.001151,0.001151,0.001151
10,316.129,1.94064,2.26547,1.18858,0.98181,0,0.6186,0.40854,0.4224,0.21187,0.38964,0.31596,0.24728,0.08911,1.84744,2.31455,1.2132,0.98099,0,0.00113863,0.00113863,0.00113863
11,347.064,1.89959,2.26905,1.1629,0.96216,0,0.56987,0.43727,0.44826,0.20908,0.32626,0.28056,0.20323,0.07731,1.93312,2.31722,1.24631,1.01847,0,0.00112625,0.00112625,0.00112625
12,377.346,1.8769,2.23622,1.14927,0.9538,0,0.56248,0.4485,0.43203,0.20426,0.35151,0.31595,0.22055,0.07962,1.91824,2.09043,1.18275,0.97059,0,0.00111388,0.00111388,0.00111388
13,407.562,1.84648,2.29572,1.13616,0.9703,0,0.61107,0.4207,0.42698,0.20941,0.32877,0.31262,0.21436,0.07607,1.90369,2.15746,1.17744,0.98261,0,0.0011015,0.0011015,0.0011015
14,437.741,1.83885,2.26372,1.12193,0.95811,0,0.63326,0.43768,0.44451,0.21915,0.37688,0.29296,0.2098,0.07568,1.90327,2.15845,1.19423,0.96436,0,0.00108913,0.00108913,0.00108913
15,467.882,1.83139,2.16931,1.09932,0.9593,0,0.67242,0.43602,0.46192,0.23305,0.41819,0.32172,0.24916,0.08507,1.88245,2.18328,1.09832,0.97527,0,0.00107675,0.00107675,0.00107675
16,498.763,1.83248,2.23935,1.10599,0.96019,0,0.59867,0.48471,0.45761,0.20843,0.41368,0.35141,0.24853,0.08892,1.91177,2.04132,1.15557,0.97618,0,0.00106437,0.00106437,0.00106437
17,528.95,1.83182,2.20714,1.0991,0.94305,0,0.67324,0.38057,0.42602,0.20578,0.35528,0.31271,0.21988,0.07522,1.9164,2.14325,1.2155,0.97318,0,0.001052,0.001052,0.001052
18,559.18,1.82138,2.17018,1.09882,0.94797,0,0.59863,0.47951,0.47223,0.22927,0.38805,0.3603,0.24837,0.08741,1.82552,2.08389,1.10723,0.94357,0,0.00103962,0.00103962,0.00103962
