epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0867,2.13275,3.01248,2.95684,1.05457,0,0.1675,0.40034,0.1009,0.03601,0.0926,0.22206,0.04054,0.01488,2.0943,2.44014,49.5734,1.02826,0,0.000409091,0.000409091,0.000409091
2,39.8615,2.05766,2.41055,1.54236,0.98651,0,0.73181,0.31954,0.35186,0.1407,0.50831,0.18672,0.16068,0.05344,2.19187,2.48506,2.10425,1.00536,0,0.000817583,0.000817583,0.000817583
3,59.9676,2.09429,2.44434,1.48407,1.01037,0,0.67451,0.35089,0.38426,0.17296,0.5282,0.26679,0.22606,0.07745,2.0317,2.59378,1.87315,1.01888,0,0.00121782,0.00121782,0.00121782
4,80.0052,2.06245,2.37371,1.39739,1.00559,0,0.52364,0.41605,0.40165,0.17677,0.37991,0.26621,0.20161,0.06741,2.0842,2.27062,1.36766,1.01095,0,0.00121287,0.00121287,0.00121287
5,99.7979,2.05289,2.46603,1.29337,0.99386,0,0.55709,0.44324,0.41949,0.18975,0.38151,0.29818,0.22867,0.08009,2.06811,2.15212,1.34307,1.00799,0,0.0012005,0.0012005,0.0012005
6,119.858,1.99621,2.36535,1.29065,0.98013,0,0.569,0.45367,0.43476,0.19235,0.4122,0.32366,0.23727,0.08529,1.96536,2.16141,1.22973,1.00525,0,0.00118812,0.00118812,0.00118812
7,139.871,1.99253,2.37997,1.25585,0.98571,0,0.62812,0.37727,0.42092,0.184,0.42864,0.30297,0.24296,0.08262,2.03395,2.18364,1.2694,0.97636,0,0.00117575,0.00117575,0.00117575
8,159.52,1.94652,2.2699,1.20427,0.97499,0,0.54274,0.40541,0.40374,0.19423,0.30638,0.30221,0.20035,0.06994,1.93326,2.31068,1.23564,0.98551,0,0.00116337,0.00116337,0.00116337
9,179.216,1.89902,2.25888,1.17124,0.97007,0,0.6077,0.44062,0.43353,0.18633,0.40501,0.34298,0.25821,0.08751,1.99159,2.30042,1.18517,0.98629,0,0.001151,0.001151,0.001151
10,198.871,1.93585,2.26107,1.18236,0.9752,0,0.54192,0.4387,0.43971,0.21613,0.40915,0.3396,0.27589,0.10534,1.93167,2.25352,1.2271,0.99764,0,0.00113863,0.00113863,0.00113863
11,218.868,1.8762,2.25615,1.16096,0.95225,0,0.61143,0.43308,0.46469,0.22363,0.39386,0.32878,0.26363,0.09971,1.88223,2.18671,1.20021,0.97763,0,0.00112625,0.00112625,0.00112625
12,238.949,1.85208,2.20571,1.14352,0.95698,0,0.64485,0.43174,0.45295,0.22238,0.38314,0.33267,0.24813,0.0916,1.82683,2.12486,1.14818,0.9627,0,0.00111388,0.00111388,0.00111388
13,258.557,1.84487,2.20819,1.13673,0.95531,0,0.54156,0.45662,0.43787,0.20907,0.42049,0.30225,0.26063,0.09938,1.99666,2.17133,1.18462,0.96434,0,0.0011015,0.0011015,0.0011015
14,278.176,1.85651,2.27588,1.14016,0.95499,0,0.54055,0.47239,0.45772,0.2185,0.37423,0.36024,0.28141,0.09703,1.89659,2.1259,1.15943,0.96996,0,0.00108913,0.00108913,0.00108913
15,297.848,1.81612,2.15647,1.10719,0.95183,0,0.61287,0.4632,0.45512,0.20876,0.47024,0.33731,0.28213,0.10414,1.9496,2.14669,1.16119,0.96661,0,0.00107675,0.00107675,0.00107675
16,317.512,1.80562,2.19431,1.09451,0.94104,0,0.55939,0.47594,0.46158,0.21856,0.35144,0.31585,0.25022,0.09227,1.89148,2.23475,1.15515,0.96509,0,0.00106437,0.00106437,0.00106437
17,337.111,1.78848,2.20419,1.08229,0.93409,0,0.62867,0.46195,0.48527,0.24017,0.45998,0.33687,0.29678,0.10902,1.82819,2.14954,1.15049,0.94835,0,0.001052,0.001052,0.001052
18,357.114,1.80102,2.13002,1.08905,0.92932,0,0.6088,0.46266,0.45241,0.20793,0.35447,0.28598,0.21123,0.07474,1.9107,2.1332,1.16895,0.947,0,0.00103962,0.00103962,0.00103962
19,376.736,1.7549,2.14186,1.05618,0.92223,0,0.54922,0.48681,0.46186,0.23565,0.42582,0.33663,0.26439,0.09132,1.81106,2.09358,1.16065,0.93735,0,0.00102725,0.00102725,0.00102725
20,396.44,1.7638,2.16081,1.06689,0.93289,0,0.64805,0.45102,0.45234,0.21059,0.4267,0.3108,0.24088,0.09166,1.94729,2.00453,1.18241,0.93795,0,0.00101488,0.00101488,0.00101488
21,416.119,1.81183,2.12121,1.07477,0.92807,0,0.64453,0.44225,0.46746,0.22855,0.3676,0.30962,0.25543,0.09365,1.83234,2.18588,1.11626,0.91891,0,0.0010025,0.0010025,0.0010025
22,435.816,1.78286,2.14569,1.05235,0.92264,0,0.66407,0.42605,0.46759,0.21631,0.39605,0.34411,0.28603,0.1044,1.91523,2.13076,1.16097,0.94043,0,0.000990125,0.000990125,0.000990125
23,455.467,1.72587,2.13121,1.04363,0.92046,0,0.60168,0.50492,0.50018,0.24659,0.35409,0.34607,0.27152,0.10057,1.76812,2.04157,1.09829,0.9228,0,0.00097775,0.00097775,0.00097775
24,475.151,1.7401,2.10833,1.0378,0.92141,0,0.58701,0.49455,0.50107,0.25026,0.46256,0.30376,0.27367,0.10567,1.76022,1.98922,1.07469,0.9285,0,0.000965375,0.000965375,0.000965375
25,495.199,1.70342,2.15284,1.01768,0.91366,0,0.6714,0.46683,0.48175,0.2417,0.38703,0.32434,0.27161,0.10251,1.79458,2.16415,1.08382,0.93326,0,0.000953,0.000953,0.000953
26,514.821,1.70422,2.12742,1.00773,0.91507,0,0.60429,0.47393,0.47213,0.22828,0.41001,0.30154,0.24883,0.08799,1.8936,2.09412,1.08928,0.93137,0,0.000940625,0.000940625,0.000940625
27,534.522,1.71077,2.05376,1.01598,0.9204,0,0.63673,0.48364,0.47557,0.24193,0.42847,0.3443,0.26609,0.09624,1.80121,2.0304,1.10464,0.92556,0,0.00092825,0.00092825,0.00092825
28,554.167,1.70133,2.06512,1.02219,0.90586,0,0.65264,0.48737,0.50066,0.23894,0.34547,0.31616,0.22685,0.0769,1.76858,2.09546,1.12062,0.92652,0,0.000915875,0.000915875,0.000915875
