epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.96189,2.69806,3.61118,3.91695,1.22002,0,0.0128,0.35114,0.02181,0.00958,0.0112,0.29454,0.02086,0.00756,2.22683,2.67293,3.49056,1.01968,0,0.000409091,0.000409091,0.000409091
2,17.1552,2.35076,2.62016,2.35148,1.02351,0,0.91813,0.0597,0.24329,0.09999,0.54028,0.10871,0.11818,0.03394,2.34215,2.3563,2.62377,1.0356,0,0.000817583,0.000817583,0.000817583
3,24.6935,2.30557,2.58328,2.07581,1.01783,0,0.47059,0.34397,0.29569,0.11743,0.31849,0.27147,0.17348,0.05411,2.28722,2.47521,1.58021,1.03846,0,0.00121782,0.00121782,0.00121782
4,32.105,2.23806,2.47713,1.86595,1.00605,0,0.54,0.33904,0.32912,0.14296,0.38972,0.26435,0.18285,0.05889,2.15734,2.33052,1.52315,1.00151,0,0.00121287,0.00121287,0.00121287
5,39.4447,2.21214,2.56943,1.71406,0.98726,0,0.48763,0.36136,0.35865,0.15582,0.34949,0.26175,0.19478,0.06898,2.24438,2.50964,1.44664,0.99821,0,0.0012005,0.0012005,0.0012005
6,46.8166,2.15345,2.49031,1.63203,0.98271,0,0.53024,0.3573,0.34402,0.14958,0.34583,0.25641,0.1881,0.0681,2.14319,2.16496,1.41944,0.96948,0,0.00118812,0.00118812,0.00118812
7,54.3705,2.09611,2.41631,1.54375,0.9723,0,0.62951,0.40118,0.39471,0.16988,0.3527,0.29172,0.19677,0.0726,2.08543,2.15575,1.37957,0.96365,0,0.00117575,0.00117575,0.00117575
8,61.8525,2.05776,2.32954,1.47549,0.96968,0,0.54419,0.38543,0.38664,0.17359,0.38897,0.33377,0.24697,0.09338,2.05519,2.17799,1.35005,0.95287,0,0.00116337,0.00116337,0.00116337
9,69.3916,2.03911,2.33824,1.43553,0.96161,0,0.5704,0.40681,0.3864,0.17552,0.38,0.26572,0.20137,0.07341,2.09048,2.39055,1.31233,0.95742,0,0.001151,0.001151,0.001151
10,76.8504,2.0424,2.3336,1.40006,0.95521,0,0.56898,0.4,0.38489,0.17748,0.30861,0.28952,0.20659,0.07492,1.9943,2.25945,1.2814,0.95682,0,0.00113863,0.00113863,0.00113863
11,84.4028,2.02881,2.37034,1.38289,0.94925,0,0.64743,0.3698,0.37564,0.17962,0.40473,0.27002,0.20519,0.07641,2.05682,2.26034,1.29206,0.96723,0,0.00112625,0.00112625,0.00112625
12,92.0943,1.96261,2.29787,1.31536,0.94397,0,0.61324,0.38679,0.39516,0.19065,0.43287,0.29813,0.23831,0.0856,2.02757,2.23164,1.26104,0.95326,0,0.00111388,0.00111388,0.00111388
