epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5751,2.52419,3.54021,3.30535,1.17121,0,0.48932,0.28771,0.28261,0.11156,0.23181,0.1886,0.12059,0.03746,2.17647,2.46617,1.72951,1.01122,0,0.000409091,0.000409091,0.000409091
2,22.6971,2.1578,2.48572,1.63891,1.0019,0,0.37866,0.37881,0.30304,0.13873,0.29843,0.32305,0.19736,0.07184,2.14501,2.26915,1.65428,1.00558,0,0.000817583,0.000817583,0.000817583
3,33.8386,2.14254,2.50654,1.50029,0.99392,0,0.61053,0.36033,0.34111,0.15225,0.31867,0.26281,0.15797,0.05402,2.10783,2.39483,1.4751,1.02449,0,0.00121782,0.00121782,0.00121782
4,44.9175,2.13127,2.39685,1.44366,0.99871,0,0.56528,0.40824,0.38234,0.1647,0.46225,0.31919,0.2479,0.08553,1.9947,2.21593,1.43624,1.01611,0,0.00121287,0.00121287,0.00121287
5,56.0269,2.08422,2.4585,1.35701,0.98315,0,0.53572,0.42402,0.4053,0.17628,0.39069,0.3334,0.24345,0.08918,2.04452,2.19516,1.31343,0.98873,0,0.0012005,0.0012005,0.0012005
6,67.3205,2.06387,2.41365,1.38513,0.97602,0,0.53142,0.39438,0.39571,0.1715,0.37511,0.28028,0.21909,0.07685,2.1134,2.17107,1.28642,0.9821,0,0.00118812,0.00118812,0.00118812
7,78.2175,2.01213,2.36559,1.30045,0.96004,0,0.567,0.44521,0.41659,0.19734,0.37236,0.31499,0.22959,0.08234,1.9465,2.07953,1.23511,0.96214,0,0.00117575,0.00117575,0.00117575
8,89.3956,1.97017,2.27031,1.25823,0.96055,0,0.54738,0.41055,0.40132,0.18363,0.33157,0.28487,0.20722,0.07601,2.04868,2.14998,1.24971,0.96437,0,0.00116337,0.00116337,0.00116337
9,100.325,1.95494,2.27891,1.23123,0.95578,0,0.59319,0.41182,0.41603,0.18026,0.40125,0.29411,0.22015,0.08025,2.05462,2.17031,1.25978,0.95366,0,0.001151,0.001151,0.001151
10,111.243,1.97989,2.25791,1.24156,0.95869,0,0.545,0.40828,0.41081,0.18679,0.39985,0.31908,0.26362,0.09745,1.98116,2.11685,1.25545,0.95838,0,0.00113863,0.00113863,0.00113863
11,122.345,1.94319,2.29308,1.20573,0.9409,0,0.64238,0.42672,0.45689,0.22114,0.45948,0.27886,0.25552,0.09066,1.89158,2.10477,1.19007,0.93945,0,0.00112625,0.00112625,0.00112625
12,133.475,1.86327,2.22953,1.16327,0.93045,0,0.61408,0.39957,0.4185,0.19478,0.3971,0.35602,0.28218,0.10388,1.96874,2.16825,1.23808,0.94587,0,0.00111388,0.00111388,0.00111388
