epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,46.9073,2.03779,2.68764,2.1035,1.03853,0,0.54311,0.38758,0.37138,0.16064,0.28712,0.21352,0.12872,0.04129,1.99489,2.53255,1.85371,1.0344,0,0.000412844,0.000412844,0.000412844
2,91.2806,2.10098,2.45846,1.48499,1.03057,0,0.70421,0.35225,0.38251,0.17027,0.43065,0.25426,0.14673,0.04516,1.99517,2.32844,1.68091,1.03118,0,0.000821299,0.000821299,0.000821299
3,136.815,2.11825,2.53938,1.47087,1.02917,0,0.5779,0.40272,0.40005,0.16408,0.42447,0.2991,0.22838,0.07963,2.07987,2.32038,1.35501,1.03796,0,0.0012215,0.0012215,0.0012215
4,182.255,2.10002,2.4008,1.40575,1.02525,0,0.57772,0.42792,0.40315,0.1783,0.34253,0.26983,0.17065,0.05781,2.0233,2.46252,1.37877,1.01019,0,0.00121287,0.00121287,0.00121287
5,226.703,2.09943,2.48259,1.35009,1.01052,0,0.46436,0.4049,0.3799,0.16874,0.29743,0.30602,0.1811,0.05738,2.00724,2.33225,1.3083,1.02296,0,0.0012005,0.0012005,0.0012005
6,271.177,2.04594,2.39303,1.29174,1.00685,0,0.56233,0.46729,0.4463,0.2003,0.36431,0.29407,0.20271,0.07286,1.96435,2.24333,1.21043,1.00614,0,0.00118812,0.00118812,0.00118812
7,316.592,1.99516,2.36264,1.24576,0.98683,0,0.61302,0.40315,0.42955,0.19333,0.44753,0.3302,0.26093,0.09411,1.97955,2.07687,1.25754,1.00324,0,0.00117575,0.00117575,0.00117575
8,362.106,1.97239,2.28941,1.23136,0.99234,0,0.55975,0.43887,0.44128,0.21675,0.4012,0.31646,0.24427,0.08507,1.95224,2.21907,1.23389,0.98537,0,0.00116337,0.00116337,0.00116337
9,407.666,1.92509,2.31263,1.1972,0.96881,0,0.54169,0.43842,0.41628,0.2026,0.34632,0.28467,0.19457,0.06794,1.96424,2.22032,1.2407,0.98499,0,0.001151,0.001151,0.001151
10,452.103,1.91758,2.22663,1.1945,0.97528,0,0.61492,0.39807,0.43545,0.20975,0.33142,0.3183,0.2345,0.09073,1.96613,2.30203,1.25834,0.98869,0,0.00113863,0.00113863,0.00113863
11,496.541,1.89771,2.27423,1.1616,0.95844,0,0.6063,0.45119,0.45625,0.21222,0.3429,0.269,0.19993,0.06608,1.91267,2.17894,1.17656,0.97382,0,0.00112625,0.00112625,0.00112625
12,540.952,1.84857,2.2109,1.14256,0.94976,0,0.63533,0.41914,0.44721,0.21724,0.40366,0.29028,0.2273,0.07988,1.88674,2.09287,1.1726,0.97129,0,0.00111388,0.00111388,0.00111388
13,585.299,1.84987,2.24356,1.1436,0.96801,0,0.56324,0.45118,0.45139,0.21811,0.3595,0.26328,0.20276,0.07346,1.91828,2.18077,1.17733,0.97355,0,0.0011015,0.0011015,0.0011015
14,629.729,1.8518,2.21695,1.12338,0.96322,0,0.52784,0.46422,0.42663,0.20575,0.30823,0.29208,0.20069,0.06998,1.95547,2.07061,1.19892,0.9806,0,0.00108913,0.00108913,0.00108913
15,674.21,1.83054,2.15817,1.11087,0.96027,0,0.58133,0.46823,0.47187,0.2311,0.42073,0.32691,0.24491,0.09385,1.85669,2.04377,1.10333,0.96305,0,0.00107675,0.00107675,0.00107675
16,719.625,1.82681,2.21647,1.10987,0.95874,0,0.63213,0.48682,0.46788,0.22731,0.3583,0.33751,0.23685,0.0844,1.85584,2.11931,1.14019,0.95373,0,0.00106437,0.00106437,0.00106437
17,764.04,1.81318,2.21388,1.09436,0.93962,0,0.56754,0.48708,0.47001,0.22376,0.34687,0.3267,0.22651,0.08212,1.86645,2.1759,1.13351,0.95911,0,0.001052,0.001052,0.001052
18,808.395,1.81329,2.1621,1.0844,0.94412,0,0.5482,0.48579,0.46515,0.21996,0.41344,0.28854,0.24407,0.08873,1.82187,2.18051,1.13013,0.94407,0,0.00103962,0.00103962,0.00103962
19,852.833,1.80244,2.16759,1.07459,0.94399,0,0.58533,0.48515,0.47371,0.23046,0.38917,0.29154,0.23533,0.08004,1.879,2.18985,1.12998,0.95775,0,0.00102725,0.00102725,0.00102725
