epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3792,2.32705,3.20236,2.60756,1.12288,0,0.60346,0.27324,0.2777,0.10531,0.41117,0.1384,0.09288,0.02612,2.28483,2.78289,1.55685,1.14063,0,0.000412844,0.000412844,0.000412844
2,63.3738,2.33669,2.78827,1.67585,1.09804,0,0.62819,0.27795,0.27473,0.10391,0.35441,0.20895,0.12144,0.04081,2.29046,2.72379,1.76532,1.12683,0,0.000821299,0.000821299,0.000821299
3,91.9444,2.39611,2.88789,1.63702,1.11042,0,0.37498,0.31028,0.27832,0.11193,0.22986,0.2103,0.12426,0.04138,2.43011,2.76967,1.57082,1.11323,0,0.0012215,0.0012215,0.0012215
4,120.281,2.33829,2.75062,1.5675,1.0892,0,0.67185,0.2907,0.27824,0.1016,0.43155,0.15197,0.09868,0.03206,2.4431,2.57627,1.54244,1.10987,0,0.00121287,0.00121287,0.00121287
5,147.63,2.37157,2.82656,1.54768,1.0829,0,0.50635,0.34079,0.30571,0.12207,0.31657,0.23699,0.15402,0.04495,2.28321,2.40282,1.41923,1.07737,0,0.0012005,0.0012005,0.0012005
6,175.962,2.28451,2.71166,1.47957,1.07824,0,0.48894,0.34758,0.33567,0.14128,0.28689,0.24638,0.14377,0.04356,2.30003,2.60858,1.40242,1.09961,0,0.00118812,0.00118812,0.00118812
7,204.178,2.22582,2.61259,1.43337,1.05499,0,0.66099,0.33528,0.33693,0.13792,0.40325,0.27454,0.19132,0.06187,2.18737,2.31722,1.37886,1.05957,0,0.00117575,0.00117575,0.00117575
8,232.69,2.21357,2.56129,1.40805,1.05722,0,0.64821,0.2929,0.31662,0.12645,0.24018,0.23789,0.13109,0.04115,2.21938,2.49989,1.51072,1.04553,0,0.00116337,0.00116337,0.00116337
9,260.105,2.15256,2.5773,1.35584,1.0355,0,0.6232,0.33801,0.30677,0.12617,0.34346,0.22736,0.16196,0.04871,2.2165,2.52742,1.39588,1.07225,0,0.001151,0.001151,0.001151
10,287.341,2.16954,2.53285,1.3592,1.03671,0,0.52377,0.32177,0.3368,0.14153,0.3947,0.21909,0.16616,0.0528,2.21042,2.34042,1.37737,1.04645,0,0.00113863,0.00113863,0.00113863
11,314.706,2.11765,2.52853,1.33627,1.01532,0,0.61119,0.3572,0.36383,0.15413,0.29703,0.23446,0.14986,0.04534,2.19906,2.35518,1.33652,1.04083,0,0.00112625,0.00112625,0.00112625
12,342.049,2.09632,2.45197,1.3317,1.00886,0,0.5385,0.35899,0.34637,0.145,0.40666,0.29371,0.20262,0.06827,2.22632,2.30907,1.32835,1.04254,0,0.00111388,0.00111388,0.00111388
13,370.496,2.05468,2.51128,1.28093,1.02532,0,0.53368,0.37786,0.36628,0.16096,0.27719,0.28372,0.15921,0.05215,2.1559,2.37891,1.2703,1.04165,0,0.0011015,0.0011015,0.0011015
14,398.029,2.06703,2.51204,1.28374,1.02,0,0.66038,0.35004,0.36757,0.16583,0.284,0.25612,0.1704,0.052,2.03475,2.24166,1.27637,1.00532,0,0.00108913,0.00108913,0.00108913
