epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0073,2.51238,3.47463,3.86227,1.14971,0,0.3231,0.26318,0.23639,0.09966,0.17278,0.17659,0.09853,0.02835,2.22095,2.86088,1.65206,0.97673,0,0.000409091,0.000409091,0.000409091
2,31.7023,2.31823,2.78237,1.80882,1.03344,0,0.57877,0.24657,0.22538,0.08665,0.18288,0.23784,0.12329,0.03947,2.29575,2.85241,2.07073,1.05616,0,0.000817583,0.000817583,0.000817583
3,43.4909,2.27699,2.75658,1.66092,1.03362,0,0.59205,0.26713,0.25085,0.10368,0.44003,0.22802,0.15188,0.05218,2.30462,2.67521,2.35772,1.0976,0,0.00121782,0.00121782,0.00121782
4,55.3423,2.30736,2.63844,1.57603,1.04647,0,0.63382,0.3047,0.27102,0.10448,0.41876,0.26033,0.1606,0.05727,2.37884,2.57542,1.53057,1.08893,0,0.00121287,0.00121287,0.00121287
5,67.198,2.29951,2.7688,1.50596,1.03125,0,0.56939,0.32326,0.30706,0.12892,0.27787,0.24115,0.15344,0.04633,2.24636,2.5068,1.54259,1.05047,0,0.0012005,0.0012005,0.0012005
6,78.8904,2.19334,2.65894,1.46158,1.00873,0,0.46641,0.33865,0.33279,0.13913,0.3173,0.23499,0.15562,0.05636,2.19465,2.43225,1.47999,1.02625,0,0.00118812,0.00118812,0.00118812
7,90.7544,2.15547,2.58542,1.43582,1.00719,0,0.52193,0.28973,0.3192,0.13287,0.27516,0.26973,0.16395,0.0528,2.22719,2.40425,1.38498,1.02735,0,0.00117575,0.00117575,0.00117575
8,102.192,2.15572,2.5362,1.41569,1.01048,0,0.77826,0.30143,0.33408,0.13769,0.39959,0.22896,0.13716,0.0415,2.22469,2.41529,1.4577,1.00681,0,0.00116337,0.00116337,0.00116337
9,113.691,2.07679,2.51461,1.36283,0.99352,0,0.56379,0.33079,0.33679,0.14383,0.26101,0.22569,0.14009,0.04421,2.16745,2.43819,1.37502,1.02455,0,0.001151,0.001151,0.001151
10,125.266,2.11906,2.48783,1.35953,0.99727,0,0.58541,0.30982,0.33636,0.13964,0.42368,0.25393,0.18714,0.05861,2.18874,2.40509,1.34037,1.0026,0,0.00113863,0.00113863,0.00113863
