epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7279,2.50831,3.34702,3.61627,0.00349,5.23052,0.60314,0.24208,0.26154,0.11403,0.41535,0.15881,0.10594,0.03421,2.32893,2.63571,1.89878,0.01428,0,0.000412844,0.000412844,0.000412844
2,63.6711,2.49562,2.93332,2.01231,0.00323,2.56387,0.50177,0.3445,0.32684,0.12142,0.26223,0.23021,0.15361,0.05389,2.48351,2.47683,1.73912,0.01436,0,0.000821299,0.000821299,0.000821299
3,95.0147,2.55518,2.87654,1.91989,0.00332,1.44178,0.52828,0.33791,0.3341,0.13505,0.21547,0.20171,0.11963,0.03404,2.3951,2.60928,1.66235,0.01245,0,0.0012215,0.0012215,0.0012215
4,125.176,2.50301,2.7638,1.82297,0.00325,1.28715,0.71135,0.33777,0.33539,0.12938,0.44246,0.16194,0.11387,0.03469,2.4984,2.43555,1.69197,0.01525,0,0.00121287,0.00121287,0.00121287
5,155.247,2.46927,2.87062,1.75996,0.00313,1.25684,0.43965,0.37209,0.35796,0.14355,0.2525,0.22492,0.14004,0.04554,2.37036,2.57933,1.63656,0.0132,0,0.0012005,0.0012005,0.0012005
6,186.564,2.47072,2.74436,1.71496,0.00314,1.23557,0.5041,0.37511,0.36525,0.14803,0.21326,0.18926,0.10533,0.03363,2.44152,2.47359,1.49733,0.0138,0,0.00118812,0.00118812,0.00118812
7,216.494,2.44766,2.68868,1.66722,0.00314,1.25895,0.68898,0.35067,0.37993,0.15257,0.22382,0.19237,0.11251,0.03709,2.38049,2.35301,1.52983,0.01271,0,0.00117575,0.00117575,0.00117575
8,247.647,2.44429,2.6697,1.62837,0.00318,1.21651,0.51722,0.38239,0.37088,0.15717,0.35639,0.21615,0.14173,0.04401,2.4054,2.50097,1.49861,0.01402,0,0.00116337,0.00116337,0.00116337
9,278.863,2.38897,2.68091,1.60191,0.003,1.20881,0.65849,0.3701,0.39204,0.16166,0.41895,0.2564,0.18482,0.06064,2.34383,2.36492,1.54331,0.01277,0,0.001151,0.001151,0.001151
10,309.833,2.38582,2.64548,1.60323,0.00301,1.18224,0.68023,0.33787,0.37299,0.15694,0.33864,0.22108,0.15079,0.05192,2.31524,2.32555,1.52917,0.01294,0,0.00113863,0.00113863,0.00113863
11,339.932,2.32525,2.63379,1.57359,0.00285,1.18356,0.55751,0.39096,0.40155,0.17456,0.34351,0.28303,0.18507,0.06301,2.24415,2.31276,1.44755,0.01242,0,0.00112625,0.00112625,0.00112625
12,371.362,2.31051,2.58415,1.55058,0.00284,1.17533,0.55052,0.40721,0.40925,0.17146,0.35401,0.25806,0.18432,0.05645,2.34993,2.18948,1.54611,0.01259,0,0.00111388,0.00111388,0.00111388
13,401.444,2.31182,2.63028,1.55598,0.00297,1.17994,0.58384,0.39893,0.41708,0.18341,0.25691,0.20909,0.14502,0.04467,2.32178,2.36095,1.44082,0.01237,0,0.0011015,0.0011015,0.0011015
14,431.616,2.31923,2.59764,1.52297,0.00288,1.20769,0.53377,0.39979,0.38375,0.16923,0.26938,0.21063,0.16342,0.05461,2.2538,2.2557,1.51327,0.01216,0,0.00108913,0.00108913,0.00108913
15,461.659,2.25204,2.4935,1.51142,0.00276,1.0965,0.52572,0.43861,0.42637,0.18754,0.36934,0.27779,0.19777,0.06807,2.25901,2.22765,1.48692,0.01195,0,0.00107675,0.00107675,0.00107675
16,492.697,2.24883,2.63955,1.4815,0.00274,1.10948,0.49341,0.41437,0.41517,0.17609,0.3624,0.26055,0.19929,0.06428,2.29212,2.19998,1.4149,0.01222,0,0.00106437,0.00106437,0.00106437
17,522.769,2.28343,2.60476,1.48013,0.00275,1.10309,0.51875,0.39348,0.39118,0.17347,0.33597,0.2586,0.19191,0.06614,2.25627,2.43914,1.46054,0.01209,0,0.001052,0.001052,0.001052
18,552.87,2.28797,2.50013,1.50819,0.00279,1.09467,0.561,0.42003,0.43728,0.19239,0.29187,0.24602,0.17218,0.05575,2.17787,2.33104,1.42469,0.01125,0,0.00103962,0.00103962,0.00103962
19,583.007,2.25292,2.52398,1.44623,0.00272,1.06555,0.64804,0.38385,0.42503,0.1871,0.34885,0.22763,0.16777,0.05363,2.28036,2.34237,1.39545,0.01203,0,0.00102725,0.00102725,0.00102725
20,613.176,2.24774,2.51179,1.46619,0.00272,1.05537,0.5284,0.40021,0.43511,0.1853,0.25517,0.24267,0.15026,0.04807,2.25697,2.44598,1.44242,0.01142,0,0.00101488,0.00101488,0.00101488
21,643.212,2.2388,2.53591,1.44615,0.00265,1.0342,0.60984,0.43698,0.45936,0.20153,0.28404,0.24445,0.15347,0.05274,2.1804,2.31505,1.3629,0.01109,0,0.0010025,0.0010025,0.0010025
22,673.545,2.25614,2.54094,1.43851,0.00269,1.04105,0.55967,0.42801,0.45031,0.20457,0.31166,0.24485,0.15734,0.05215,2.17267,2.24835,1.37435,0.01087,0,0.000990125,0.000990125,0.000990125
23,704.898,2.19672,2.50184,1.44578,0.00267,1.01692,0.64522,0.42056,0.44634,0.19784,0.43344,0.27445,0.21532,0.07428,2.14798,2.18512,1.37562,0.01137,0,0.00097775,0.00097775,0.00097775
24,735.879,2.20678,2.49607,1.43862,0.00264,1.02226,0.55443,0.4293,0.43362,0.19827,0.31533,0.24532,0.19185,0.07404,2.24432,2.15393,1.38894,0.01158,0,0.000965375,0.000965375,0.000965375
25,766.948,2.19232,2.47944,1.42323,0.00261,1.01979,0.52359,0.44653,0.42057,0.18621,0.3278,0.29434,0.18437,0.05992,2.13607,2.14474,1.42026,0.01099,0,0.000953,0.000953,0.000953
26,797.179,2.18015,2.43142,1.39007,0.00258,0.98582,0.74193,0.37614,0.43476,0.19808,0.39542,0.24444,0.19174,0.06772,2.24187,2.23862,1.39407,0.0113,0,0.000940625,0.000940625,0.000940625
27,827.299,2.19442,2.41473,1.40776,0.00261,0.99987,0.63617,0.46976,0.4637,0.20902,0.36339,0.26654,0.17919,0.06371,2.20051,2.18762,1.37262,0.01144,0,0.00092825,0.00092825,0.00092825
28,858.284,2.20313,2.42282,1.40608,0.00264,0.99879,0.61612,0.45867,0.47803,0.21644,0.31976,0.26733,0.17373,0.06047,2.1498,2.24464,1.30396,0.0114,0,0.000915875,0.000915875,0.000915875
29,889.451,2.15208,2.37263,1.34704,0.00256,0.99494,0.56767,0.42607,0.44773,0.20194,0.27874,0.23281,0.16546,0.05521,2.18633,2.20477,1.38273,0.01128,0,0.0009035,0.0009035,0.0009035
30,919.507,2.14716,2.42674,1.35016,0.00257,0.97531,0.58753,0.44,0.47229,0.22507,0.40555,0.2803,0.2039,0.07406,2.11645,2.26312,1.33602,0.01091,0,0.000891125,0.000891125,0.000891125
31,950.695,2.12391,2.38295,1.35024,0.00247,0.95092,0.55248,0.43667,0.44994,0.2124,0.25983,0.24665,0.1612,0.05551,2.12376,2.15012,1.35592,0.01056,0,0.00087875,0.00087875,0.00087875
32,980.941,2.12601,2.38645,1.35157,0.0025,0.96396,0.55582,0.44429,0.44567,0.20828,0.36116,0.21197,0.15949,0.05636,2.11058,2.15496,1.35153,0.01065,0,0.000866375,0.000866375,0.000866375
33,1011.22,2.10935,2.35736,1.34485,0.00249,0.95167,0.5684,0.44942,0.44435,0.19715,0.33156,0.25536,0.19911,0.06631,2.18654,2.21359,1.40063,0.01123,0,0.000854,0.000854,0.000854
34,1041.37,2.10959,2.31587,1.3364,0.00243,0.89549,0.60967,0.39687,0.44414,0.20915,0.38909,0.24969,0.19355,0.06643,2.17896,2.1955,1.36391,0.01061,0,0.000841625,0.000841625,0.000841625
35,1071.71,2.12784,2.34563,1.32406,0.00243,0.93522,0.76527,0.38458,0.47592,0.21891,0.58674,0.23564,0.20326,0.07094,2.16722,2.1794,1.34123,0.01046,0,0.00082925,0.00082925,0.00082925
36,1101.89,2.10677,2.34976,1.35136,0.00244,0.96418,0.57697,0.45885,0.46756,0.22254,0.35335,0.30336,0.22835,0.08272,2.15663,2.13188,1.35692,0.01046,0,0.000816875,0.000816875,0.000816875
37,1133.12,2.13069,2.34215,1.3673,0.00241,0.95136,0.63831,0.44135,0.4401,0.20658,0.30209,0.25288,0.16207,0.05582,2.08782,2.20104,1.35085,0.01081,0,0.0008045,0.0008045,0.0008045
