epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,84.1834,2.42914,3.03554,3.09623,0.00323,3.97276,0.36526,0.32149,0.27845,0.10655,0.18734,0.17502,0.08692,0.02681,2.46597,2.56245,1.8369,0.01383,0,0.000414755,0.000414755,0.000414755
2,144.647,2.56392,2.86569,1.95797,0.00339,1.97685,0.6065,0.11371,0.1223,0.05705,0.51761,0.06205,0.05009,0.01965,2.8143,3.16937,2.42952,0.02459,0,0.000823191,0.000823191,0.000823191
3,206.744,2.65298,2.94479,1.94526,0.00363,1.35736,0.45007,0.34736,0.31342,0.10541,0.29811,0.21579,0.14096,0.04868,2.64997,2.5552,1.70923,0.01627,0,0.00122338,0.00122338,0.00122338
4,271.367,2.62311,2.82536,1.86912,0.00361,1.31616,0.4129,0.33049,0.28818,0.09069,0.21746,0.20836,0.12652,0.03893,2.73681,2.77081,1.736,0.01537,0,0.00121287,0.00121287,0.00121287
5,333.652,2.78229,2.93438,1.92472,0.0039,1.32454,0.58613,0.31636,0.32368,0.13018,0.37309,0.18448,0.14647,0.0457,2.58493,2.59857,1.6711,0.01524,0,0.0012005,0.0012005,0.0012005
6,398.462,2.61863,2.89924,1.8511,0.00356,1.26997,0.38597,0.32921,0.31071,0.12198,0.25705,0.19197,0.11303,0.03423,nan,nan,nan,nan,0,0.00118812,0.00118812,0.00118812
7,460.309,2.63778,2.78822,1.82841,0.00361,1.30557,0.50124,0.29992,0.3182,0.12475,0.22277,0.16712,0.10398,0.03261,2.55706,2.51783,1.75666,0.01528,0,0.00117575,0.00117575,0.00117575
8,522.251,2.57561,2.77094,1.78536,0.00353,1.27175,0.44789,0.37886,0.36489,0.1416,0.23454,0.22654,0.14814,0.04531,2.45443,2.39605,1.52469,0.01345,0,0.00116337,0.00116337,0.00116337
9,586.761,2.52836,2.71734,1.68179,0.00338,1.24865,0.52917,0.3639,0.35823,0.1266,0.27706,0.20357,0.12,0.03269,2.52409,2.36223,1.60628,0.01456,0,0.001151,0.001151,0.001151
10,648.597,2.50422,2.69988,1.69637,0.00333,1.23352,0.46668,0.3787,0.3773,0.15572,0.26804,0.23317,0.13532,0.04637,2.3507,2.33295,1.54076,0.01309,0,0.00113863,0.00113863,0.00113863
11,713.107,2.46368,2.6698,1.62497,0.00318,1.20673,0.48739,0.34785,0.31389,0.13211,0.31715,0.19835,0.13573,0.04613,2.39944,2.44347,1.62296,0.01398,0,0.00112625,0.00112625,0.00112625
12,775.025,2.41953,2.67339,1.57354,0.0031,1.19392,0.47829,0.3738,0.37065,0.14493,0.24573,0.21256,0.13025,0.03898,2.38847,2.36697,1.53288,0.01322,0,0.00111388,0.00111388,0.00111388
13,837.011,2.42476,2.66201,1.59722,0.00323,1.17588,0.53347,0.38367,0.37651,0.16144,0.29289,0.23162,0.16041,0.04678,2.35178,2.22247,1.50378,0.01314,0,0.0011015,0.0011015,0.0011015
14,901.753,2.40155,2.66529,1.59733,0.00306,1.19281,0.4855,0.3852,0.37872,0.15852,0.2441,0.21444,0.12777,0.0396,2.35847,2.4287,1.53872,0.01341,0,0.00108913,0.00108913,0.00108913
15,963.475,2.37845,2.54648,1.54111,0.00306,1.15242,0.51898,0.41116,0.40839,0.1695,0.34193,0.20328,0.14565,0.04639,2.31792,2.25575,1.51292,0.01168,0,0.00107675,0.00107675,0.00107675
16,1028.29,2.36722,2.62582,1.54849,0.00298,1.10678,0.53071,0.39227,0.38882,0.1652,0.4222,0.24909,0.18433,0.06202,2.27028,2.35869,1.46129,0.01189,0,0.00106437,0.00106437,0.00106437
