epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,11.714,2.68672,3.77686,3.32747,1.21846,0,0.30756,0.30709,0.25262,0.09863,0.20808,0.17825,0.09285,0.02348,2.35158,2.91917,1.69004,1.06997,0,0.000409091,0.000409091,0.000409091
2,22.94,2.3317,2.80301,1.72798,1.04853,0,0.47345,0.27738,0.23826,0.09791,0.20961,0.21268,0.10603,0.03028,2.24994,2.68198,1.75944,1.05933,0,0.000817583,0.000817583,0.000817583
3,34.2867,2.34995,2.76679,1.69613,1.05668,0,0.44455,0.29685,0.29088,0.10774,0.30378,0.2158,0.15333,0.04967,2.37198,2.67207,1.56913,1.07462,0,0.00121782,0.00121782,0.00121782
4,45.4057,2.30455,2.64775,1.6076,1.05159,0,0.38897,0.28402,0.29599,0.11864,0.18042,0.25171,0.11864,0.03898,2.21529,2.54791,1.46311,1.07682,0,0.00121287,0.00121287,0.00121287
5,56.5686,2.29484,2.7614,1.52558,1.03376,0,0.4993,0.3203,0.32071,0.13682,0.28435,0.28009,0.16102,0.05206,2.26334,2.41791,1.3353,1.07547,0,0.0012005,0.0012005,0.0012005
6,68.0136,2.2457,2.67806,1.45611,1.03363,0,0.43005,0.30978,0.28009,0.11183,0.25588,0.23894,0.13137,0.04291,2.27267,2.4535,1.55009,1.02879,0,0.00118812,0.00118812,0.00118812
7,79.0751,2.18288,2.59333,1.43511,1.01225,0,0.55393,0.33852,0.33565,0.13844,0.30351,0.27229,0.17061,0.06001,2.18237,2.39501,1.34752,0.99956,0,0.00117575,0.00117575,0.00117575
8,90.3248,2.14063,2.52438,1.38584,1.00431,0,0.63262,0.34009,0.35224,0.14996,0.40966,0.2754,0.18112,0.06091,2.11092,2.5247,1.37451,1.00257,0,0.00116337,0.00116337,0.00116337
9,101.522,2.1037,2.52676,1.33574,1.0107,0,0.73042,0.33487,0.32892,0.13438,0.48894,0.2565,0.20984,0.06854,2.14925,2.49452,1.35624,1.03686,0,0.001151,0.001151,0.001151
10,112.604,2.11725,2.47298,1.33165,1.01301,0,0.64007,0.33563,0.34726,0.15061,0.36022,0.30152,0.20684,0.07542,2.06205,2.34544,1.24666,1.01394,0,0.00113863,0.00113863,0.00113863
